model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,549,138,17.71411687101897,4.2088141882267704,0.319861239931843,18.689778401334845,4.323167635118357,0.2004058537727328,5.420289855072464,5.091912746066345,1.6440961526158646,1.6440961526158675,-11.056744185457921,-0.06890097523764407,4.781922552092288,9.19425270965656,-2.234885444840902
Lasso (lambda=0.05),549,138,17.889613789911948,4.229611541254344,0.31312298378953807,18.709073889826357,4.325398697210045,0.1995803458766463,5.420289855072464,4.693737127622913,1.4200618967689496,0.0,-2.022743436383309,-0.0,4.849830020718392,-0.0,-0.0
"Random Forest (500 estimators, 5 depth)",549,138,11.112000092657716,3.3334666778982083,0.5733514676499523,15.433126895274357,3.9285018639774574,0.33973332061750816,5.420289855072464,,0.09443619631625948,0.09383038209537432,0.28379790402824717,0.01018151526048326,0.49088868086363413,0.010904637065152073,0.01596068437084956
"Random Forest (100 estimators, 5 depth)",549,138,11.114400578912278,3.3338267169893934,0.573259300269742,15.570001812861056,3.945884161105221,0.33387747896344944,5.420289855072464,,0.09269465803585382,0.08173898710284476,0.2938629698288496,0.009292045630906964,0.49274761058837835,0.010041319562112449,0.01962240925105404
Ridge (lambda=2.0),549,138,17.75440521836831,4.2135976573906895,0.31831435691131793,18.38706593342706,4.2880142179599945,0.2133566289040093,5.420289855072464,5.045971694729468,1.5811864129922988,1.5811864129923052,-1.771176906596241,-0.09463188470692528,4.690788156076227,-0.7252626833020321,-1.373677186475291
