model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,833,209,41.48746810507612,6.441076626238514,0.2468165773476016,36.71609692669904,6.059380902922265,0.036664374235576,10.44976076555024,3.250773000168296,-1.5520550735889442,-1.5520550735889442,2.142778750767982,0.7024856862218141,8.185452192945506,5.778127207701932,2.518678205103301
Lasso (lambda=0.05),833,209,41.64176688932147,6.453043226983798,0.2440153631078058,36.7372272359188,6.061124255112974,0.0361099694551479,10.44976076555024,4.375892962403723,-0.0,-0.0,6.5746436934933605,0.4947377562207364,7.63995121284477,0.0,-0.0
"Random Forest (500 estimators, 5 depth)",833,209,29.15966623499529,5.399969095744464,0.4706214136121712,33.12538647186808,5.755465791043161,0.1308753495973961,10.44976076555024,,0.0510189437258218,0.0524452739741041,0.4744969447166389,0.022488480784319,0.3514610702722686,0.0359558561031295,0.0121334304237179
"Random Forest (100 estimators, 5 depth)",833,209,29.29762774633542,5.412728308933991,0.4681167940715842,32.8433378957014,5.730910738765821,0.1382755763197497,10.44976076555024,,0.0477564982554358,0.0492320965060018,0.4882468520127132,0.02308447466793,0.3490727312387643,0.0274792122210342,0.0151281350981204
Ridge (lambda=2.0),833,209,41.50087471805886,6.442117254292944,0.2465731872562385,36.65906357812143,6.054672871272356,0.0381607821095156,10.44976076555024,3.5709305101635724,-1.0180104516496713,-1.0180104516496742,3.6789923102618927,0.693673690306906,8.019148091090086,3.8977872380019263,1.5858108728936635
SVM (linear kernel),833,209,41.67410329149782,6.45554825646109,0.2434283125313338,36.006676572721155,6.000556355265831,0.055277733438589216,10.44976076555024,,,,,,,,
"Feedforward NN (3 layers, [[16, 4, 1]] activations)",833,209,41.45678809037427,6.438694595209053,0.24737355707028907,36.10323752573947,6.008596968156499,0.052744223237708776,10.44976076555024,,,,,,,,
