model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,181,46,17.216196737607355,4.149240501297479,0.2042991429294383,14.764966428941301,3.8425208430067497,0.5331619603783426,5.739130434782608,3.152878150931839,6.596672777500107,-4.932233656637877,0.9814995963234472,-0.03492047506436813,5.206507453785525,-1.8647139719303163,0.9588425747094305
Lasso (lambda=0.05),181,46,17.55504805330488,4.189874467487646,0.18863806014621032,17.057140471942795,4.1300291127233955,0.46068810533394666,5.739130434782608,3.1695672498524448,2.0750898137661915,-0.0,0.0,0.0,4.247589118818801,0.0,0.0
"Random Forest (500 estimators, 5 depth)",181,46,8.640557651234284,2.939482548210532,0.6006493633035572,12.019484764923563,3.466912857993919,0.6199684752468732,5.739130434782608,,0.21199003906674063,0.19497074346066479,0.23560277045300493,0.040462435277137304,0.2421094029705087,0.014615823983696864,0.06024878478824664
"Random Forest (100 estimators, 5 depth)",181,46,8.71083897150154,2.951413046576426,0.5974010903182383,11.975835598269997,3.460612026545304,0.6213485726205947,5.739130434782608,,0.20878572603064185,0.18425468740490078,0.24047150863836855,0.03571814576657859,0.2472651197952225,0.02066488986764819,0.06283992249663956
Ridge (lambda=2.0),181,46,17.412421013187508,4.172819312310025,0.195230018857679,16.484636828886675,4.060127686278681,0.4787894995827474,5.739130434782608,2.9626124533794083,2.508228934320152,-1.1634810105342843,0.034558594860819365,0.004123819898504028,4.3548677703653125,0.12366911714001627,1.25827536780241
