model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,866,217,57.6621366965299,7.5935588953092275,0.256464925080877,52.17375786280167,7.223140443242237,0.2796055780486247,19.152073732718893,14.077186403210598,-6.779564966742018,20.769989183714312,-21.26814919557784,0.8983872056924247,8.710847016271927,18.97145507067262,-15.949864921369276
Lasso (lambda=0.05),866,217,58.532993330602096,7.650685807860763,0.2452355033189593,53.01971767482922,7.281463978818355,0.2679249026527244,19.152073732718893,12.264076068145426,0.0,8.913455222924066,-2.0867331464426075,0.7098435838308449,8.759626959276503,-0.0,-8.730118780296703
"Random Forest (500 estimators, 5 depth)",866,217,48.519746446799694,6.965611706576795,0.3743531652452776,49.54528087725872,7.038840875972316,0.3158985390347212,19.152073732718893,,0.0640044301400487,0.0732864937197563,0.3236594631692296,0.0117259124479842,0.5106978810170094,0.007818585191355,0.0088072343146164
"Random Forest (100 estimators, 5 depth)",866,217,48.54661719298117,6.96754025413425,0.3740066754441741,49.58583610606775,7.04172110396796,0.3153385686240827,19.152073732718893,,0.0703471064555676,0.0699636107585266,0.3167787998568029,0.0128331188977773,0.5132983185670896,0.0091771135674004,0.0076019318968354
Ridge (lambda=2.0),866,217,58.08381483281137,7.6212738326877725,0.2510275184460537,52.31020053411233,7.232579106661214,0.2777216321080845,19.152073732718893,12.745213621602453,1.504361966262558,10.263654850764594,-2.4706644714276758,0.9154861199037464,8.796185529511574,-0.2794950741215429,-12.059011816189331
SVM (linear kernel),866,217,57.85820095090309,7.606457845206473,0.25393673832929065,52.45380097833043,7.242499636060082,0.2757388544964644,19.152073732718893,,,,,,,,
"Feedforward NN (3 layers, [[16, 4, 1]] activations)",866,217,60.471082973918726,7.776315514041256,0.22024444834422885,56.952351575497964,7.546678181524502,0.21362466357336696,19.152073732718893,,,,,,,,
