model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,138,35,21.0167376583811,4.584401559460199,0.1838060268605386,24.03975780827024,4.903035570773502,0.2541988726350848,9.228571428571428,5.396872659765638,-4.470214027122183,5.936658169185087,14.403578238419808,-0.5535644097146728,3.353973004062182,-15.012871660288026,4.817701543913692
Lasso (lambda=0.05),138,35,21.87941311883349,4.6775434919232435,0.15030365731862427,26.125013303361698,5.111263376442433,0.18950662775115035,9.228571428571428,6.086846715776805,-0.2440577999718675,2.1229772972231475,0.0,-0.37807996917796943,3.0560878235619855,0.0,-0.0
"Random Forest (500 estimators, 5 depth)",138,35,10.615275165946116,3.2581091396615487,0.5877512602339061,24.57410366876324,4.9572274174949085,0.23762151156777167,9.228571428571428,,0.19955459838219752,0.21402781186131,0.37594726129729594,0.039735062457610326,0.11706677833024963,0.022660891636394793,0.031007596034941895
"Random Forest (100 estimators, 5 depth)",138,35,10.702814091114615,3.2715155648589866,0.5843516487290661,24.438002011203626,4.943480758656154,0.2418438822943716,9.228571428571428,,0.18069106711356678,0.23932575248669627,0.3567650228790641,0.04184347729610285,0.12746746262229094,0.018697521061569283,0.03520969654070979
Ridge (lambda=2.0),138,35,21.600225339896195,4.647604258098595,0.16114603382095183,25.02989084825572,5.002988191896491,0.2234813278348463,9.228571428571428,6.0564453006593375,-1.5634473122863781,3.2117778634084795,1.034778409529647,-0.5435152506343078,3.1492293662295197,-0.7247383231813237,0.491209345695723
