model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,349,88,41.771481819259286,6.463086090967634,0.3885054576180813,39.60317891136304,6.293105665040358,0.43445313251064877,14.295454545454545,5.096803026045778,553.6437680507223,-546.5705051472931,0.6306211355774569,-0.4059292559824428,1.770205087201603,14.484173284373043,-1.5680202752018886
Lasso (lambda=0.05),349,88,43.79929638767907,6.618103685171385,0.35882019179685476,42.8576520678524,6.546575598574601,0.3879781486943208,14.295454545454545,4.4791626858133355,1.5618802709938517,0.0,3.814654177263766,-0.16334844213069422,0.9076830687442246,12.556769427271254,-0.0
"Random Forest (500 estimators, 5 depth)",349,88,27.104975574594665,5.206243902718606,0.603209081569667,38.724636199991245,6.222912196069558,0.4469990213011408,14.295454545454545,,0.09678578155388212,0.10092574344412258,0.7704196809954101,0.009880927403486256,0.0036305306341646356,0.0060419243240217475,0.012315411644912528
"Random Forest (100 estimators, 5 depth)",349,88,26.904944148248024,5.186997604418959,0.6061373503355465,38.02387432773598,6.166350162595049,0.45700613922965194,14.295454545454545,,0.09616294652262457,0.10242759739247458,0.7739874187978967,0.01005977334710515,0.002997250601856157,0.001967741394032286,0.012397271944010546
Ridge (lambda=2.0),349,88,43.73574952270947,6.6133009550987065,0.3597504571219521,42.01267769347016,6.481718729894885,0.4000446702129643,14.295454545454545,4.148829945434457,2.0423694049696968,1.4386052689761604,7.1880676490257365,-0.3506373572738021,1.3768312015200113,8.44198055745363,-1.483070586363915
