Name,Rookie Year,Basketball-Reference URL ID
Precious Achiuwa,2021,a/achiupr01
Bam Adebayo,2018,a/adebaba01
Ochai Agbaji,2023,a/agbajoc01
Santi Aldama,2022,a/aldamsa01
Nickeil Alexander-Walker,2020,a/alexani01
Grayson Allen,2019,a/allengr01
Jarrett Allen,2018,a/allenja01
Jose Alvarado,2022,a/alvarjo01
Kyle Anderson,2015,a/anderky01
Giannis Antetokounmpo,2014,a/antetgi01
Thanasis Antetokounmpo,2016,a/antetth01
Cole Anthony,2021,a/anthoco01
OG Anunoby,2018,a/anunoog01
Ryan Arcidiacono,2018,a/arcidry01
Deni Avdija,2021,a/avdijde01
Deandre Ayton,2019,a/aytonde01
Udoka Azubuike,2021,a/azubuud01
Ibou Badji,2024,b/badjiib01
Marvin Bagley III,2019,b/baglema01
Amari Bailey,2024,b/baileam01
Patrick Baldwin Jr.,2023,b/baldwpa01
LaMelo Ball,2021,b/ballla01
Mo Bamba,2019,b/bambamo01
Paolo Banchero,2023,b/banchpa01
Desmond Bane,2021,b/banede01
Dalano Banton,2022,b/bantoda01
Dominick Barlow,2023,b/barlodo01
Harrison Barnes,2013,b/barneha02
Scottie Barnes,2022,b/barnesc01
RJ Barrett,2020,b/barrerj01
Charles Bassey,2022,b/bassech01
Emoni Bates,2024,b/batesem01
Keita Bates-Diop,2019,b/bateske01
Nicolas Batum,2009,b/batumni01
Bradley Beal,2013,b/bealbr01
Malik Beasley,2017,b/beaslma01
MarJon Beauchamp,2023,b/beaucma01
Jules Bernard,2024,b/bernaju01
Dāvis Bertāns,2017,b/bertada01
Patrick Beverley,2013,b/beverpa01
Saddiq Bey,2021,b/beysa01
Goga Bitadze,2020,b/bitadgo01
Onuralp Bitim,2024,b/bitimon01
Bismack Biyombo,2012,b/biyombi01
Anthony Black,2024,b/blackan01
Leaky Black,2024,b/blackle01
Bogdan Bogdanović,2018,b/bogdabo01
Bojan Bogdanović,2015,b/bogdabo02
Bol Bol,2020,b/bolbo01
Marques Bolden,2020,b/boldema01
Devin Booker,2016,b/bookede01
Brandon Boston Jr.,2022,b/bostobr01
Chris Boucher,2018,b/bouchch01
James Bouknight,2022,b/bouknja01
Jamaree Bouyea,2023,b/bouyeja01
Malaki Branham,2023,b/branhma01
Christian Braun,2023,b/braunch01
Mikal Bridges,2019,b/bridgmi01
Miles Bridges,2019,b/bridgmi02
Oshae Brissett,2020,b/brissos01
Malcolm Brogdon,2017,b/brogdma01
Armoni Brooks,2021,b/brookar01
Dillon Brooks,2018,b/brookdi01
Bruce Brown,2019,b/brownbr01
Charlie Brown Jr.,2020,b/brownch02
Greg Brown III,2022,b/browngr01
Jaylen Brown,2017,b/brownja02
Kendall Brown,2023,b/brownke03
Kobe Brown,2024,b/brownko01
Moses Brown,2020,b/brownmo01
Troy Brown Jr.,2019,b/browntr01
Jalen Brunson,2019,b/brunsja01
Thomas Bryant,2018,b/bryanth01
Kobe Bufkin,2024,b/bufkiko01
Reggie Bullock,2014,b/bullore01
Alec Burks,2012,b/burksal01
Jared Butler,2022,b/butleja02
Jimmy Butler,2012,b/butleji01
Jamal Cain,2023,c/cainja01
Kentavious Caldwell-Pope,2014,c/caldwke01
Toumani Camara,2024,c/camarto01
Clint Capela,2015,c/capelca01
Jevon Carter,2019,c/carteje01
Wendell Carter Jr.,2019,c/cartewe01
Alex Caruso,2018,c/carusal01
Colin Castleton,2024,c/castlco01
Malcolm Cazalon,2024,c/cazalma01
Julian Champagnie,2023,c/champju01
Max Christie,2023,c/chrisma01
Sidy Cissoko,2024,c/cissosi01
Jordan Clarkson,2015,c/clarkjo01
Nic Claxton,2020,c/claxtni01
Noah Clowney,2024,c/clownno01
Amir Coffey,2020,c/coffeam01
John Collins,2018,c/collijo01
Zach Collins,2018,c/colliza01
Mike Conley,2008,c/conlemi01
Pat Connaughton,2016,c/connapa01
Bilal Coulibaly,2024,c/coulibi01
Ricky Council IV,2024,c/councri01
Robert Covington,2014,c/covinro01
Torrey Craig,2018,c/craigto01
Jae Crowder,2013,c/crowdja01
Cade Cunningham,2022,c/cunnica01
Seth Curry,2014,c/curryse01
Stephen Curry,2010,c/curryst01
Dyson Daniels,2023,d/daniedy01
Anthony Davis,2013,d/davisan01
Johnny Davis,2023,d/davisjo01
JD Davison,2023,d/davisjd01
DeMar DeRozan,2010,d/derozde01
Dexter Dennis,2024,d/dennide01
Donte DiVincenzo,2019,d/divindo01
Moussa Diabaté,2023,d/diabamo01
Mamadi Diakite,2021,d/diakima01
Hamidou Diallo,2019,d/diallha01
Gradey Dick,2024,d/dickgr01
Ousmane Dieng,2023,d/diengou01
Spencer Dinwiddie,2015,d/dinwisp01
Luka Dončić,2019,d/dončilu01
Luguentz Dort,2020,d/dortlu01
Ayo Dosunmu,2022,d/dosunay01
Andre Drummond,2013,d/drumman01
Chris Duarte,2022,d/duartch01
Kris Dunn,2017,d/dunnkr01
Kevin Durant,2008,d/duranke01
Jalen Duren,2023,d/durenja01
Tari Eason,2023,e/easonta01
Anthony Edwards,2021,e/edwaran01
Kessler Edwards,2022,e/edwarke01
Keon Ellis,2023,e/elliske01
Joel Embiid,2017,e/embiijo01
Drew Eubanks,2019,e/eubandr01
Dante Exum,2015,e/exumda01
Bruno Fernando,2020,f/fernabr01
Dorian Finney-Smith,2017,f/finnedo01
Malachi Flynn,2021,f/flynnma01
Simone Fontecchio,2023,f/fontesi01
Jordan Ford,2024,f/fordjo01
Trent Forrest,2021,f/forretr01
Evan Fournier,2013,f/fournev01
De'Aaron Fox,2018,f/foxde01
Javon Freeman-Liberty,2024,f/freemja01
Alex Fudge,2024,f/fudgeal01
Markelle Fultz,2018,f/fultzma01
Daniel Gafford,2020,g/gaffoda01
Danilo Gallinari,2009,g/gallida01
Darius Garland,2020,g/garlada01
Usman Garuba,2022,g/garubus01
Luka Garza,2022,g/garzalu01
Kaiser Gates,2024,g/gateska01
Keyonte George,2024,g/georgke01
Paul George,2011,g/georgpa01
Taj Gibson,2010,g/gibsota01
Josh Giddey,2022,g/giddejo01
Shai Gilgeous-Alexander,2019,g/gilgesh01
Anthony Gill,2021,g/gillan01
Collin Gillespie,2024,g/gilleco01
Jacob Gilyard,2023,g/gilyaja01
Rudy Gobert,2014,g/goberru01
Jordan Goodwin,2022,g/goodwjo01
Aaron Gordon,2015,g/gordoaa01
Eric Gordon,2009,g/gordoer01
Devonte' Graham,2019,g/grahade01
Jerami Grant,2015,g/grantje01
A.J. Green,2023,g/greena.01
Danny Green,2010,g/greenda01
Draymond Green,2013,g/greendr01
Jalen Green,2022,g/greenja01
Jeff Green,2008,g/greenje01
Josh Green,2021,g/greenjo01
AJ Griffin,2023,g/griffaj01
Quentin Grimes,2022,g/grimequ01
Mouhamed Gueye,2024,g/gueyemo01
Rui Hachimura,2020,h/hachiru01
Tyrese Haliburton,2021,h/halibty01
R.J. Hampton,2021,h/hamptr.01
Tim Hardaway Jr.,2014,h/hardati01
James Harden,2010,h/hardeja01
Jaden Hardy,2023,h/hardyja01
Ron Harper Jr.,2023,h/harpero01
Gary Harris,2015,h/harriga01
Joe Harris,2015,h/harrijo01
Tobias Harris,2012,h/harrito01
Shaquille Harrison,2018,h/harrish01
Josh Hart,2018,h/hartjo01
Isaiah Hartenstein,2019,h/harteis01
Sam Hauser,2022,h/hausesa01
