Name,Rookie Year,Basketball-Reference URL ID
Jordan Hawkins,2024,h/hawkijo01
Jaxson Hayes,2020,h/hayesja01
Killian Hayes,2021,h/hayeski01
Gordon Hayward,2011,h/haywago01
Scoot Henderson,2024,h/hendesc01
Taylor Hendricks,2024,h/hendrta01
Tyler Herro,2020,h/herroty01
Buddy Hield,2017,h/hieldbu01
Haywood Highsmith,2019,h/highsha01
Nate Hinton,2021,h/hintona01
D'Moi Hodge,2024,h/hodged'01
Aaron Holiday,2019,h/holidaa01
Jrue Holiday,2010,h/holidjr01
Justin Holiday,2013,h/holidju01
Richaun Holmes,2016,h/holmeri01
Chet Holmgren,2024,h/holmgch01
Jalen Hood-Schifino,2024,h/hood-ja01
Al Horford,2008,h/horfoal01
Talen Horton-Tucker,2020,h/hortota01
Danuel House Jr.,2017,h/houseda01
Caleb Houstan,2023,h/houstca01
Jett Howard,2024,h/howarje01
Kevin Huerter,2019,h/huertke01
Jay Huff,2022,h/huffja01
De'Andre Hunter,2020,h/huntede01
Bones Hyland,2022,h/hylanbo01
Joe Ingles,2015,i/inglejo01
Brandon Ingram,2017,i/ingrabr01
Kyrie Irving,2012,i/irvinky01
Jonathan Isaac,2018,i/isaacjo01
Jaden Ivey,2023,i/iveyja01
Andre Jackson Jr.,2024,j/jacksan01
Gregory Jackson II,2024,j/jacksgr01
Isaiah Jackson,2022,j/jacksis01
Jaren Jackson Jr.,2019,j/jacksja01
Reggie Jackson,2012,j/jacksre01
Trayce Jackson-Davis,2024,j/jackstr01
LeBron James,2004,j/jamesle01
Jaime Jaquez Jr.,2024,j/jaqueja01
DaQuan Jeffries,2020,j/jeffrda01
Ty Jerome,2020,j/jeromty01
Isaiah Joe,2021,j/joeis01
Cameron Johnson,2020,j/johnsca01
Jalen Johnson,2022,j/johnsja01
James Johnson,2010,j/johnsja02
Keldon Johnson,2020,j/johnske01
Keon Johnson,2022,j/johnske02
Keyontae Johnson,2024,j/johnske03
Nikola Jokić,2016,j/jokićni01
Colby Jones,2024,j/jonesco01
Damian Jones,2017,j/jonesda01
Derrick Jones Jr.,2017,j/jonesde01
Herbert Jones,2022,j/joneshe01
Tre Jones,2021,j/jonestr01
Tyus Jones,2016,j/jonesty01
DeAndre Jordan,2009,j/jordade01
Cory Joseph,2012,j/josepco01
Nikola Jović,2023,j/jovićni01
Johnny Juzang,2023,j/juzanjo01
Luke Kennard,2018,k/kennalu01
Walker Kessler,2023,k/kesslwa01
Braxton Key,2022,k/keybr01
Corey Kispert,2022,k/kispeco01
Maxi Kleber,2018,k/klebema01
Kevin Knox,2019,k/knoxke01
John Konchar,2020,k/konchjo01
Furkan Korkmaz,2018,k/korkmfu01
Luke Kornet,2018,k/kornelu01
Jonathan Kuminga,2022,k/kuminjo01
Kyle Kuzma,2018,k/kuzmaky01
Jake LaRavia,2023,l/laravja01
Zach LaVine,2015,l/lavinza01
Jock Landale,2022,l/landajo01
A.J. Lawson,2023,l/lawsoa.01
Caris LeVert,2017,l/leverca01
Saben Lee,2021,l/leesa01
Alex Len,2014,l/lenal01
Kawhi Leonard,2012,l/leonaka01
Kira Lewis Jr.,2021,l/lewiski01
Maxwell Lewis,2024,l/lewisma01
E.J. Liddell,2024,l/liddee.01
Damian Lillard,2013,l/lillada01
Nassir Little,2020,l/littlna01
Dereck Lively II,2024,l/livelde01
Isaiah Livers,2022,l/liveris01
Chris Livingston,2024,l/livinch01
Kenneth Lofton Jr.,2023,l/loftoke01
Kevon Looney,2016,l/looneke01
Brook Lopez,2009,l/lopezbr01
Robin Lopez,2009,l/lopezro01
Kevin Love,2009,l/loveke01
Kyle Lowry,2007,l/lowryky01
Seth Lundy,2024,l/lundyse01
Trey Lyles,2016,l/lylestr01
Théo Maledon,2021,m/maledth01
Sandro Mamukelashvili,2022,m/mamuksa01
Terance Mann,2020,m/mannte01
Tre Mann,2022,m/manntr01
Boban Marjanović,2016,m/marjabo01
Lauri Markkanen,2018,m/markkla01
Naji Marshall,2021,m/marshna01
Caleb Martin,2020,m/martica01
Cody Martin,2020,m/martico01
KJ Martin,2021,m/martikj01
Garrison Mathews,2020,m/mathega01
Bennedict Mathurin,2023,m/mathube01
Wesley Matthews,2010,m/matthwe01
Tyrese Maxey,2021,m/maxeyty01
Skylar Mays,2021,m/mayssk01
Miles McBride,2022,m/mcbrimi01
CJ McCollum,2014,m/mccolcj01
T.J. McConnell,2016,m/mccont.01
Jaden McDaniels,2021,m/mcdanja01
Jalen McDaniels,2020,m/mcdanja02
Doug McDermott,2015,m/mcderdo01
JaVale McGee,2009,m/mcgeeja01
Bryce McGowens,2023,m/mcgowbr01
Jordan McLaughlin,2020,m/mclaujo01
De'Anthony Melton,2019,m/meltode01
Nathan Mensah,2024,m/mensana01
Sam Merrill,2021,m/merrisa01
Chimezie Metu,2019,m/metuch01
Khris Middleton,2013,m/middlkh01
Brandon Miller,2024,m/millebr01
Jordan Miller,2024,m/millejo01
Leonard Miller,2024,m/millele01
Dariq Whitehead,2024,w/whiteda01
Patty Mills,2010,m/millspa01
Shake Milton,2019,m/miltosh01
Justin Minaya,2023,m/minayju01
Josh Minott,2023,m/minotjo01
Davion Mitchell,2022,m/mitchda01
Donovan Mitchell,2018,m/mitchdo01
Evan Mobley,2022,m/mobleev01
Isaiah Mobley,2023,m/mobleis01
Malik Monk,2018,m/monkma01
Moses Moody,2022,m/moodymo01
Xavier Moon,2022,m/moonxa01
Wendell Moore Jr.,2023,m/moorewe01
Ja Morant,2020,m/moranja01
Marcus Morris,2012,m/morrima01
Markieff Morris,2012,m/morrima02
Trey Murphy III,2022,m/murphtr01
Dejounte Murray,2017,m/murrade01
Jamal Murray,2017,m/murraja01
Keegan Murray,2023,m/murrake01
Kris Murray,2024,m/murrakr01
Mike Muscala,2014,m/muscami01
Svi Mykhailiuk,2019,m/mykhasv01
Larry Nance Jr.,2016,n/nancela01
Andrew Nembhard,2023,n/nembhan01
Aaron Nesmith,2021,n/nesmiaa01
Georges Niang,2017,n/niangge01
Daishen Nix,2022,n/nixda01
Zeke Nnaji,2021,n/nnajize01
Jaylen Nowell,2020,n/nowelja01
Markquis Nowell,2024,n/nowelma01
Frank Ntilikina,2018,n/ntilifr01
Jusuf Nurkić,2015,n/nurkiju01
Jordan Nwora,2021,n/nworajo01
Royce O'Neale,2018,o/o'nearo01
Chuma Okeke,2021,o/okekech01
Josh Okogie,2019,o/okogijo01
Onyeka Okongwu,2021,o/okongon01
Isaac Okoro,2021,o/okorois01
Kelly Olynyk,2014,o/olynyke01
Eugene Omoruyi,2022,o/omorueu01
Cedi Osman,2018,o/osmance01
Kelly Oubre Jr.,2016,o/oubreke01
Chris Paul,2006,p/paulch01
Cameron Payne,2016,p/payneca01
Gary Payton II,2017,p/paytoga01
Drew Peterson,2024,p/peterdr01
Filip Petrušev,2024,p/petrufi01
Julian Phillips,2024,p/phillju01
Jalen Pickett,2024,p/pickeja01
Mason Plumlee,2014,p/plumlma01
Brandin Podziemski,2024,p/podzibr01
Jakob Poeltl,2017,p/poeltja01
Aleksej Pokusevski,2021,p/pokusal01
Jordan Poole,2020,p/poolejo01
Craig Porter Jr.,2024,p/portecr01
Jontay Porter,2021,p/portejo01
Michael Porter Jr.,2020,p/portemi01
Otto Porter Jr.,2014,p/porteot01
Bobby Portis,2016,p/portibo01
Kristaps Porziņģis,2016,p/porzikr01
Micah Potter,2022,p/pottemi01
Dwight Powell,2015,p/poweldw01
Norman Powell,2016,p/powelno01
Joshua Primo,2022,p/primojo01
Taurean Prince,2017,p/princta01
Payton Pritchard,2021,p/pritcpa01
Olivier-Maxence Prosper,2024,p/prospol01
Trevelin Queen,2022,q/queentr01
Neemias Queta,2022,q/quetane01
Immanuel Quickley,2021,q/quickim01
Lester Quinones,2023,q/quinole01
Julius Randle,2015,r/randlju01
Duop Reath,2024,r/reathdu01
Austin Reaves,2022,r/reaveau01
Cam Reddish,2020,r/reddica01
Paul Reed,2021,r/reedpa01
Naz Reid,2020,r/reidna01
Jared Rhoden,2023,r/rhodeja01
Nick Richards,2021,r/richani01
Josh Richardson,2016,r/richajo01
Duncan Robinson,2019,r/robindu01
Jerome Robinson,2019,r/robinje01
Mitchell Robinson,2019,r/robinmi01
Orlando Robinson,2023,r/robinor01
Jeremiah Robinson-Earl,2022,r/robinje02
David Roddy,2023,r/roddyda01
Ryan Rollins,2023,r/rolliry01
Derrick Rose,2009,r/rosede01
Terry Rozier,2016,r/roziete01
Rayan Rupert,2024,r/ruperra01
D'Angelo Russell,2016,r/russed'01
Matt Ryan,2022,r/ryanma01
Domantas Sabonis,2017,s/sabondo01
Luka Šamanić,2020,š/šamanlu01
Jermaine Samuels,2024,s/samueje01
Adama Sanogo,2024,s/sanogad01
Gui Santos,2024,s/santogu01
Dario Šarić,2017,š/šarićda01
Olivier Sarr,2022,s/sarrol01
Marcus Sasser,2024,s/sassema01
Admiral Schofield,2020,s/schofad01
Dennis Schröder,2014,s/schröde01
Dereon Seabron,2023,s/seabrde01
Alperen Şengün,2022,ş/şengüal01
Brice Sensabaugh,2024,s/sensabr01
Collin Sexton,2019,s/sextoco01
Landry Shamet,2019,s/shamela01
Day'Ron Sharpe,2022,s/sharpda01
Shaedon Sharpe,2023,s/sharpsh01
Ben Sheppard,2024,s/sheppbe01
Pascal Siakam,2017,s/siakapa01
Ben Simmons,2018,s/simmobe01
Anfernee Simons,2019,s/simonan01
Jericho Sims,2022,s/simsje01
Dmytro Skapintsev,2024,s/skapidm01
Jalen Slawson,2024,s/slawsja01
Javonte Smart,2022,s/smartja01
Marcus Smart,2015,s/smartma01
Dennis Smith Jr.,2018,s/smithde01
Dru Smith,2023,s/smithdr01
Ish Smith,2011,s/smithis01
Jabari Smith Jr.,2023,s/smithja01
Jalen Smith,2021,s/smithja02
Nick Smith Jr.,2024,s/smithni01
Jeremy Sochan,2023,s/sochaje01
Jaden Springer,2022,s/sprinja01
Lamar Stevens,2021,s/stevela01
Isaiah Stewart,2021,s/stewais01
Julian Strawther,2024,s/strawju01
Max Strus,2020,s/strusma01
Jalen Suggs,2022,s/suggsja01
Cole Swider,2023,s/swideco01
Jae'Sean Tate,2021,t/tateja01
Jayson Tatum,2018,t/tatumja01
Terry Taylor,2022,t/taylote01
Garrett Temple,2010,t/templga01
Dalen Terry,2023,t/terryda01
Daniel Theis,2018,t/theisda01
Cam Thomas,2022,t/thomaca01
Amen Thompson,2024,t/thompam01
Ausar Thompson,2024,t/thompau01
Klay Thompson,2012,t/thompkl01
Tristan Thompson,2012,t/thomptr01
JT Thor,2022,t/thorjt01
Matisse Thybulle,2020,t/thybuma01
Xavier Tillman Sr.,2021,t/tillmxa01
Jacob Toppin,2024,t/toppija01
Obi Toppin,2021,t/toppiob01
Juan Toscano-Anderson,2020,t/toscaju01
Karl-Anthony Towns,2016,t/townska01
Gary Trent Jr.,2019,t/trentga01
Oscar Tshiebwe,2024,t/tshieos01
P.J. Tucker,2007,t/tuckep.01
Myles Turner,2016,t/turnemy01
Hunter Tyson,2024,t/tysonhu01
Stanley Umude,2023,u/umudest01
Jonas Valančiūnas,2013,v/valanjo01
Fred VanVleet,2017,v/vanvlfr01
Jarred Vanderbilt,2019,v/vandeja01
Devin Vassell,2021,v/vassede01
Sasha Vezenkov,2024,v/vezensa01
Gabe Vincent,2020,v/vincega01
Nikola Vučević,2012,v/vučevni01
Dean Wade,2020,w/wadede01
Franz Wagner,2022,w/wagnefr01
Moritz Wagner,2019,w/wagnemo01
Ish Wainright,2022,w/wainris01
Jabari Walker,2023,w/walkeja01
Jarace Walker,2024,w/walkeja02
Lonnie Walker IV,2019,w/walkelo01
Cason Wallace,2024,w/wallaca01
Jordan Walsh,2024,w/walshjo01
P.J. Washington,2020,w/waship.01
TyTy Washington Jr.,2023,w/washity01
Yuta Watanabe,2019,w/watanyu01
Lindy Waters III,2022,w/waterli01
Trendon Watford,2022,w/watfotr01
Peyton Watson,2023,w/watsope01
Victor Wembanyama,2024,w/wembavi01
Blake Wesley,2023,w/weslebl01
Russell Westbrook,2009,w/westbru01
Coby White,2020,w/whiteco01
Derrick White,2018,w/whitede01
Cam Whitmore,2024,w/whitmca01
Aaron Wiggins,2022,w/wiggiaa01
Andrew Wiggins,2015,w/wiggian01
Lindell Wigginton,2022,w/wiggili01
Brandon Williams,2022,w/willibr01
Grant Williams,2020,w/willigr01
Jalen Williams,2023,w/willija01
Jaylin Williams,2023,w/willija02
Jeenathan Williams,2023,w/willije01
Kenrich Williams,2019,w/willike01
Mark Williams,2023,w/willima01
Patrick Williams,2021,w/willipa01
Robert Williams,2019,w/williro01
Vince Williams Jr.,2023,w/willivi01
Ziaire Williams,2022,w/willizi01
Zion Williamson,2020,w/willizi02
Jalen Wilson,2024,w/wilsoja01
Dylan Windler,2021,w/windldy01
James Wiseman,2021,w/wisemja01
Christian Wood,2016,w/woodch01
Delon Wright,2016,w/wrighde01
Thaddeus Young,2008,y/youngth01
Trae Young,2019,y/youngtr01
Omer Yurtseven,2022,y/yurtsom01
Cody Zeller,2014,z/zelleco01
Ivica Zubac,2017,z/zubaciv01
