model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,556,139,26.592015106824796,5.156744622998583,0.18440419278886966,28.58906830666239,5.346874629787236,0.14283991329692203,8.568345323741006,8.13148582970579,0.014960418960656249,0.014960418960653477,-5.173895278674248,-0.5581671594614545,4.14679964310063,2.9553576837400146,0.4270700334103631
Lasso (lambda=0.05),556,139,26.67269303606171,5.1645612626884105,0.18192974395316575,28.271860084483297,5.31712893246753,0.15235047951438074,8.568345323741006,8.101022522770688,0.02915525258012958,9.857205589928955e-17,-1.7373555852341074,-0.37289158949331097,4.096814927653915,-0.0,0.0
"Random Forest (500 estimators, 5 depth)",556,139,18.805647187060718,4.336547842127505,0.42321757354439504,28.138621446254586,5.304584945710134,0.15634525267282284,8.568345323741006,,0.08463288538831784,0.08214612915709026,0.4373011075683925,0.018569932094954795,0.3456765693576757,0.0065503292916309405,0.025123047141937995
"Random Forest (100 estimators, 5 depth)",556,139,18.704177754527716,4.324832685148377,0.42632971241019946,28.217117981970226,5.311978725669958,0.15399176228837996,8.568345323741006,,0.08605630357052853,0.0776688329669888,0.4486442128241856,0.01911060575989818,0.33516758263273316,0.0074265301987027025,0.02592593204696304
Ridge (lambda=2.0),556,139,26.603111147147818,5.157820387251559,0.18406386942759945,28.4522933162597,5.334069114312234,0.1469407136928924,8.568345323741006,8.101239504005363,0.17581923187979115,0.17581923187979057,-1.5646883116568873,-0.5585593718678227,4.077853255605328,-0.7485030162517158,0.4588940891244154
