model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,232,58,16.32795168545663,4.040786023220807,0.1260158146946126,17.063712353653496,4.130824657819973,0.0479279447075836,5.206896551724138,1.6351220058139546,11.075467786523856,-11.3216393876195,14.711470396903026,0.6104719115561641,2.498447104576315,-11.47070221255908,1.6675605943336889
Lasso (lambda=0.05),232,58,17.25866433380257,4.154354863730657,0.0761976775891133,17.63520521080988,4.19942915296947,0.01604142623956,5.206896551724138,3.935762678011724,0.8417159367692215,-0.0,1.8731858947109548,0.2716813101198598,2.072309489474817,0.0,0.134149144283323
"Random Forest (500 estimators, 5 depth)",232,58,9.021209547771742,3.003532844463623,0.5171228682590279,13.723479904005892,3.7045215485951615,0.2342966496869265,5.206896551724138,,0.1293888858716381,0.1222104416602408,0.5823468306148362,0.0148035918655738,0.075847480496629,0.037175603503572,0.03822716598751
"Random Forest (100 estimators, 5 depth)",232,58,9.11372976913454,3.0188954551515264,0.5121705501820419,13.485475013401492,3.672257481904216,0.2475761635858384,5.206896551724138,,0.1378636105162607,0.1296427700064553,0.5552349839447028,0.0146473098809128,0.0891884545735501,0.029489296639813,0.043933574438305
Ridge (lambda=2.0),232,58,16.94347773585414,4.116245587407795,0.0930686303781574,17.80879579285148,4.220046894627059,0.0063559170843164,5.206896551724138,3.0942639468029025,2.3216517791120106,-2.4620657381924773,2.5226618592391783,0.5186759213505566,2.316227754164666,0.2177555138212325,1.1547525059626182
SVM (linear kernel),232,58,16.87830233767009,4.10832110936695,0.09655726559592215,17.175907267866496,4.14438261600766,0.041668014842717205,5.206896551724138,,,,,,,,
"Feedforward NN (3 layers, [[16, 4, 1]] activations)",232,58,15.434967693990489,3.928736144613238,0.17381445480006075,19.153935914372862,4.376520982969562,-0.06869635135590646,5.206896551724138,,,,,,,,
