Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2009-10-28,7363,OKC,H,SAC,W (+13),0,12:59,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,3,5,3.8,-5
2,2,2009-10-30,7365,OKC,A,DET,W (+8),0,16:38,1,6,.167,0,1,.000,0,0,,1,1,2,8,0,0,0,3,2,3.6,+17
3,3,2009-11-01,7367,OKC,H,POR,L (-9),0,17:52,2,9,.222,2,3,.667,0,0,,1,2,3,2,1,1,1,2,6,3.1,+4
4,4,2009-11-03,7369,OKC,H,LAL,L (-3),0,17:04,3,9,.333,1,2,.500,2,2,1.000,0,1,1,3,1,0,0,2,9,6.5,+16
5,5,2009-11-06,7372,OKC,A,HOU,L (-11),0,10:02,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,1,4,2.3,-8
6,6,2009-11-08,7374,OKC,H,ORL,W (+28),0,19:13,2,5,.400,0,1,.000,1,2,.500,1,3,4,5,2,0,0,3,5,7.8,0
7,7,2009-11-10,7376,OKC,A,SAC,L (-3),0,19:24,3,7,.429,3,5,.600,0,0,,0,4,4,1,1,1,1,3,9,6.7,+1
8,8,2009-11-11,7377,OKC,A,LAC,W (+4),0,23:54,3,8,.375,0,3,.000,1,2,.500,0,5,5,8,1,1,2,1,7,8.6,+9
9,9,2009-11-14,7380,OKC,A,SAS,W (+3),0,19:57,3,6,.500,0,1,.000,2,3,.667,1,1,2,1,1,1,2,4,8,4.4,-3
10,10,2009-11-15,7381,OKC,H,LAC,L (-8),0,17:38,0,8,.000,0,5,.000,4,4,1.000,1,2,3,2,1,0,2,1,4,-0.3,-9
11,11,2009-11-17,7383,OKC,A,MIA,W (+13),0,14:16,1,3,.333,1,3,.333,2,2,1.000,0,2,2,0,0,0,2,4,5,0.3,+6
12,12,2009-11-18,7384,OKC,A,ORL,L (-14),0,30:51,7,14,.500,6,7,.857,4,4,1.000,0,3,3,3,1,0,1,2,24,19.2,+5
13,13,2009-11-20,7386,OKC,H,WAS,W (+19),0,26:24,8,11,.727,4,6,.667,5,6,.833,3,1,4,1,4,0,2,5,25,23.2,+4
14,14,2009-11-22,7388,OKC,A,LAL,L (-16),0,30:21,2,15,.133,0,10,.000,6,6,1.000,0,3,3,6,3,2,3,3,10,5.6,-4
15,15,2009-11-24,7390,OKC,A,UTA,W (+10),0,19:38,4,5,.800,1,2,.500,1,1,1.000,0,2,2,1,0,0,0,1,10,9.0,+6
16,16,2009-11-27,7393,OKC,H,MIL,W (+18),0,27:18,6,7,.857,3,3,1.000,0,2,.000,1,1,2,2,1,0,2,3,15,11.9,+1
17,17,2009-11-29,7395,OKC,H,HOU,L (-9),0,19:16,1,4,.250,0,1,.000,3,4,.750,0,3,3,0,2,0,1,3,5,2.9,-12
18,18,2009-12-02,7398,OKC,H,PHI,W (+11),0,27:01,3,7,.429,1,3,.333,2,2,1.000,3,2,5,1,0,0,3,1,9,5.3,+12
19,19,2009-12-04,7400,OKC,H,BOS,L (-18),0,23:27,1,6,.167,0,3,.000,4,6,.667,0,5,5,1,1,0,1,1,6,3.2,+3
20,20,2009-12-07,7403,OKC,H,GSW,W (+16),0,29:40,6,13,.462,1,4,.250,13,14,.929,2,7,9,5,2,0,0,2,26,27.1,+17
21,21,2009-12-11,7407,OKC,A,MEM,W (+8),0,23:07,2,11,.182,0,2,.000,2,2,1.000,2,3,5,4,2,1,1,1,6,5.5,+5
22,22,2009-12-13,7409,OKC,H,CLE,L (-13),0,20:55,1,3,.333,0,0,,1,2,.500,1,1,2,2,0,0,2,2,3,0.5,-7
23,23,2009-12-14,7410,OKC,A,DEN,L (-9),0,23:42,3,7,.429,1,1,1.000,2,2,1.000,2,1,3,5,0,0,4,4,9,4.9,+1
24,24,2009-12-16,7412,OKC,H,DAL,L (-14),0,28:57,3,9,.333,0,4,.000,6,9,.667,2,4,6,1,1,0,3,2,12,6.2,-15
25,25,2009-12-18,7414,OKC,H,DET,W (+11),0,25:48,5,11,.455,2,3,.667,2,2,1.000,1,2,3,7,1,1,1,4,14,13.6,+19
26,26,2009-12-19,7415,OKC,A,HOU,L (-5),0,31:54,5,11,.455,0,3,.000,5,5,1.000,2,1,3,0,0,1,0,4,15,10.1,+8
27,27,2009-12-22,7418,OKC,A,LAL,L (-3),0,26:01,6,14,.429,2,3,.667,2,2,1.000,1,1,2,0,0,0,0,3,16,8.4,-2
28,28,2009-12-23,7419,OKC,A,PHO,W (+4),0,27:40,3,9,.333,1,4,.250,7,7,1.000,1,3,4,1,2,0,2,5,14,9.2,+3
29,29,2009-12-26,7422,OKC,H,CHA,W (+7),0,25:26,3,6,.500,1,2,.500,1,3,.333,0,4,4,3,2,0,1,2,8,7.7,0
30,30,2009-12-28,7424,OKC,A,NJN,W (+16),0,22:39,0,10,.000,0,4,.000,3,4,.750,3,3,6,1,3,1,2,3,3,-0.2,+7
31,31,2009-12-29,7425,OKC,A,WAS,W (+12),0,16:01,3,7,.429,1,1,1.000,4,6,.667,0,2,2,1,0,0,1,2,11,6.0,+9
32,32,2009-12-31,7427,OKC,H,UTA,W (+1),0,13:15,2,5,.400,1,2,.500,0,0,,0,2,2,0,1,0,2,0,5,1.9,0
33,33,2010-01-02,7429,OKC,A,MIL,L (-6),0,17:32,1,4,.250,0,3,.000,1,2,.500,0,3,3,1,0,0,3,3,3,-2.4,-7
34,34,2010-01-04,7431,OKC,A,CHI,W (+13),0,26:32,5,11,.455,3,5,.600,0,0,,0,1,1,4,1,0,2,5,13,7.4,+5
35,35,2010-01-06,7433,OKC,H,NOH,L (-5),0,24:29,3,8,.375,1,3,.333,2,4,.500,0,0,0,0,0,0,0,1,9,3.4,-3
36,36,2010-01-09,7436,OKC,H,IND,W (+6),0,26:02,3,7,.429,3,4,.750,4,6,.667,0,2,2,3,2,0,1,3,13,11.0,-9
37,37,2010-01-11,7438,OKC,H,NYK,W (+18),0,28:23,3,9,.333,0,4,.000,1,1,1.000,0,1,1,2,3,0,2,1,7,4.2,+2
38,38,2010-01-13,7440,OKC,H,SAS,L (-1),0,32:48,3,5,.600,1,2,.500,5,6,.833,0,7,7,1,1,0,1,3,12,10.9,+8
39,39,2010-01-15,7442,OKC,A,DAL,L (-1),0,25:32,4,8,.500,2,4,.500,1,2,.500,1,2,3,1,1,0,2,5,11,5.6,-2
40,40,2010-01-16,7443,OKC,H,MIA,W (+18),0,21:23,4,9,.444,2,3,.667,4,4,1.000,0,3,3,0,0,0,1,2,14,8.4,+5
41,41,2010-01-18,7445,OKC,A,ATL,W (+3),0,23:26,5,11,.455,1,3,.333,0,0,,0,4,4,0,0,0,1,3,11,4.3,-3
42,42,2010-01-20,7447,OKC,A,MIN,W (+2),0,25:38,5,11,.455,2,7,.286,0,0,,0,3,3,3,1,0,0,2,12,9.5,+5
43,43,2010-01-22,7449,OKC,A,MEM,L (-2),0,28:14,3,6,.500,3,4,.750,4,4,1.000,0,7,7,5,2,0,1,1,13,16.2,+1
44,44,2010-01-23,7450,OKC,A,CLE,L (-1),0,27:09,1,8,.125,1,3,.333,6,6,1.000,2,2,4,1,1,0,0,2,9,6.7,+4
45,45,2010-01-27,7454,OKC,H,CHI,L (-10),0,18:30,3,10,.300,2,4,.500,0,0,,0,2,2,1,0,0,1,2,8,1.7,+1
46,46,2010-01-29,7456,OKC,H,DEN,W (+17),0,19:43,4,8,.500,3,5,.600,1,2,.500,0,1,1,1,1,0,2,3,12,6.4,+6
47,47,2010-01-31,7458,OKC,H,GSW,W (+8),0,19:38,1,7,.143,0,2,.000,3,4,.750,1,5,6,1,1,0,1,3,5,1.8,+1
48,48,2010-02-02,7460,OKC,H,ATL,W (+7),0,20:10,2,6,.333,1,4,.250,4,5,.800,0,1,1,2,1,0,1,3,9,5.7,-2
49,49,2010-02-03,7461,OKC,A,NOH,W (+4),0,16:24,1,3,.333,1,3,.333,2,2,1.000,0,2,2,0,0,1,1,3,5,2.4,-1
50,50,2010-02-06,7464,OKC,A,GSW,W (+9),0,22:00,3,8,.375,1,3,.333,0,0,,0,2,2,0,0,0,2,4,7,-0.4,+1
51,51,2010-02-09,7467,OKC,A,POR,W (+12),0,24:11,4,9,.444,2,5,.400,3,4,.750,0,3,3,2,2,0,0,1,13,11.8,+2
52,52,2010-02-16,7474,OKC,H,DAL,W (+13),0,31:22,5,7,.714,3,4,.750,4,4,1.000,0,5,5,6,0,0,2,5,17,15.8,+16
53,53,2010-02-20,7478,OKC,A,NYK,W (+3),0,31:20,4,9,.444,1,3,.333,5,7,.714,0,5,5,2,1,1,4,4,14,7.5,+4
54,54,2010-02-21,7479,OKC,A,MIN,W (+2),0,20:50,3,6,.500,2,3,.667,0,0,,1,3,4,1,1,0,2,2,8,5.5,-10
55,55,2010-02-23,7481,OKC,H,PHO,L (-2),0,27:20,2,7,.286,0,4,.000,1,2,.500,1,2,3,2,2,0,4,4,5,-0.4,+13
56,56,2010-02-24,7482,OKC,A,SAS,L (-8),0,27:02,3,7,.429,2,4,.500,0,0,,2,5,7,0,2,0,1,4,8,6.6,-6
