Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
32,29,2019-12-27,20-117,ATL,,MIL,L (-26),0,30:06,5,12,.417,1,4,.250,0,0,,0,5,5,1,1,1,1,0,11,7.5,-19
33,30,2019-12-28,20-118,ATL,@,CHI,L (-35),1,27:40,1,5,.200,0,3,.000,0,0,,1,4,5,6,2,0,1,0,2,6.0,-21
34,31,2019-12-30,20-120,ATL,@,ORL,W (+8),1,25:31,0,4,.000,0,0,,2,2,1.000,2,1,3,3,1,0,3,2,2,0.2,0
35,32,2020-01-03,20-124,ATL,@,BOS,L (-3),1,24:24,1,6,.167,1,4,.250,2,2,1.000,0,3,3,0,0,2,1,4,5,0.9,+1
36,,2020-01-04,20-125,ATL,,IND,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,33,2020-01-06,20-127,ATL,,DEN,L (-8),0,18:46,2,5,.400,1,2,.500,2,2,1.000,0,3,3,1,0,0,0,1,7,5.5,+3
38,34,2020-01-08,20-129,ATL,,HOU,L (-7),1,18:07,3,11,.273,1,7,.143,0,0,,1,1,2,0,1,1,0,4,7,1.6,-2
39,35,2020-01-10,20-131,ATL,@,WAS,L (-10),1,35:12,4,8,.500,0,1,.000,1,3,.333,1,7,8,3,0,2,1,2,9,8.7,-2
40,36,2020-01-12,20-133,ATL,@,BRK,L (-22),1,29:14,6,16,.375,4,8,.500,4,4,1.000,0,0,0,2,5,0,3,0,20,14.6,-26
41,37,2020-01-14,20-135,ATL,,PHO,W (+13),1,23:03,1,5,.200,0,1,.000,2,2,1.000,0,0,0,2,0,0,1,5,4,-0.7,+18
42,38,2020-01-17,20-138,ATL,@,SAS,W (+1),1,36:28,8,13,.615,5,7,.714,1,1,1.000,0,5,5,4,4,1,4,2,22,20.3,+8
43,39,2020-01-18,20-139,ATL,,DET,L (-33),1,29:35,3,10,.300,1,3,.333,0,0,,1,0,1,0,1,0,0,2,7,2.1,-25
44,40,2020-01-20,20-141,ATL,,TOR,L (-5),1,34:32,5,13,.385,3,6,.500,0,0,,1,7,8,1,2,0,3,3,13,7.2,-6
45,41,2020-01-22,20-143,ATL,,LAC,W (+7),0,27:11,3,9,.333,0,3,.000,4,5,.800,1,7,8,1,0,0,2,5,10,4.0,+1
46,42,2020-01-24,20-145,ATL,@,OKC,L (-29),0,28:03,7,11,.636,4,6,.667,2,4,.500,0,6,6,0,1,1,1,2,20,16.0,-18
47,43,2020-01-26,20-147,ATL,,WAS,W (+19),0,22:34,4,8,.500,1,3,.333,4,4,1.000,2,0,2,2,0,0,0,5,13,9.8,+13
48,44,2020-01-28,20-149,ATL,@,TOR,L (-16),1,29:33,7,16,.438,4,11,.364,0,0,,2,4,6,1,1,1,2,5,18,10.6,-9
49,45,2020-01-30,20-151,ATL,,PHI,W (+10),0,29:55,4,10,.400,2,5,.400,2,2,1.000,0,2,2,2,0,0,1,5,12,5.6,+7
50,46,2020-02-01,20-153,ATL,@,DAL,L (-23),1,7:10,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,2,0,1,0,-0.4,-4
51,,2020-02-03,20-155,ATL,,BOS,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
52,,2020-02-05,20-157,ATL,@,MIN,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
53,,2020-02-07,20-159,ATL,@,BOS,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
54,,2020-02-09,20-161,ATL,,NYK,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
55,47,2020-02-10,20-162,ATL,@,ORL,L (-9),0,24:16,4,8,.500,2,4,.500,1,1,1.000,0,2,2,1,1,0,2,3,11,6.1,+7
56,48,2020-02-12,20-164,ATL,@,CLE,L (-22),0,26:10,4,11,.364,2,4,.500,6,8,.750,0,4,4,2,1,0,1,4,16,10.1,-26
57,49,2020-02-20,20-172,ATL,,MIA,W (+5),0,36:56,6,12,.500,1,5,.200,3,3,1.000,0,4,4,1,2,2,0,0,16,15.3,-4
58,50,2020-02-22,20-174,ATL,,DAL,W (+4),1,39:12,6,16,.375,0,6,.000,8,9,.889,2,4,6,3,3,0,2,5,20,14.5,+6
59,51,2020-02-24,20-176,ATL,@,PHI,L (-17),0,22:29,4,10,.400,0,4,.000,2,2,1.000,1,0,1,0,0,0,2,4,10,1.7,-10
60,52,2020-02-26,20-178,ATL,,ORL,L (-10),0,31:15,5,10,.500,2,4,.500,2,2,1.000,1,2,3,1,2,1,1,2,14,11.9,-1
61,53,2020-02-28,20-180,ATL,,BRK,W (+23),1,34:17,9,14,.643,6,9,.667,2,4,.500,0,4,4,1,1,1,0,2,26,21.8,+17
62,54,2020-02-29,20-181,ATL,,POR,W (+12),1,24:16,3,9,.333,2,5,.400,0,0,,0,3,3,2,0,0,2,0,8,3.2,+16
63,,2020-03-02,20-183,ATL,,MEM,L (-39),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
64,55,2020-03-06,20-187,ATL,@,WAS,L (-6),0,28:47,11,17,.647,5,7,.714,1,1,1.000,0,1,1,2,1,1,7,3,28,15.7,+8
65,56,2020-03-07,20-188,ATL,@,MEM,L (-17),0,12:01,3,5,.600,1,1,1.000,2,2,1.000,0,2,2,1,1,0,0,3,9,7.8,-12
