,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,2018-10-16,29-083,BOS,,PHI,W (+18),0,0:49,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,2
1,6,2,2018-10-27,29-094,BOS,@,DET,W (+20),0,5:15,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,0,0,0,1,0,4,1.3,-9
2,14,3,2018-11-14,29-112,BOS,,CHI,W (+29),0,8:49,1,2,0.5,1,1,1.0,0,0,,0,1,1,2,0,0,1,0,3,2.7,3
3,16,4,2018-11-17,29-115,BOS,,UTA,L (-12),0,8:58,1,4,0.25,0,1,0.0,0,0,,0,1,1,1,1,0,1,0,2,0.6,5
4,19,5,2018-11-23,29-121,BOS,@,ATL,W (+18),0,7:17,1,1,1.0,0,0,,3,4,0.75,0,0,0,1,0,0,1,1,5,3.6,-9
5,22,6,2018-11-30,29-128,BOS,,CLE,W (+33),0,9:06,1,3,0.333,1,1,1.0,0,0,,0,1,1,4,0,0,0,0,3,4.4,4
6,24,7,2018-12-06,29-134,BOS,,NYK,W (+28),0,2:43,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,3.0,5
7,25,8,2018-12-08,29-136,BOS,@,CHI,W (+56),0,7:16,2,3,0.667,0,1,0.0,0,0,,0,1,1,2,0,0,0,0,4,4.4,13
8,26,9,2018-12-10,29-138,BOS,,NOP,W (+13),0,18:29,2,4,0.5,0,1,0.0,0,0,,0,3,3,4,1,0,2,1,4,4.3,8
9,27,10,2018-12-12,29-140,BOS,@,WAS,W (+5),0,10:13,1,1,1.0,1,1,1.0,0,0,,0,1,1,1,0,0,2,0,3,1.7,-6
10,28,11,2018-12-14,29-142,BOS,,ATL,W (+21),0,7:51,1,4,0.25,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-3
11,31,12,2018-12-21,29-149,BOS,,MIL,L (-13),0,1:44,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,0,0,2.4,2
12,32,13,2018-12-23,29-151,BOS,,CHO,W (+16),0,7:10,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,0,0,0,2,0,-1.5,-13
13,37,14,2019-01-02,29-161,BOS,,MIN,W (+13),0,2:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-6
14,38,15,2019-01-04,29-163,BOS,,DAL,W (+21),0,21:57,3,6,0.5,2,2,1.0,0,0,,0,2,2,4,3,0,1,1,8,10.0,13
15,39,16,2019-01-07,29-166,BOS,,BRK,W (+21),0,4:26,1,2,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,0,1,4,2.6,0
16,40,17,2019-01-09,29-168,BOS,,IND,W (+27),0,6:10,1,2,0.5,1,2,0.5,0,0,,0,0,0,2,0,0,0,1,3,3.0,-3
17,41,18,2019-01-10,29-169,BOS,@,MIA,L (-16),0,2:32,0,1,0.0,0,0,,2,2,1.0,0,0,0,1,0,0,1,0,2,1.0,0
18,43,19,2019-01-14,29-173,BOS,@,BRK,L (-7),0,25:50,4,11,0.364,3,7,0.429,2,2,1.0,1,2,3,4,2,0,1,3,13,10.8,11
19,46,20,2019-01-19,29-178,BOS,@,ATL,W (+8),0,5:35,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-1.1,2
20,48,21,2019-01-23,29-182,BOS,,CLE,W (+20),0,20:18,3,5,0.6,3,4,0.75,2,2,1.0,0,2,2,3,0,1,1,2,11,10.3,22
21,50,22,2019-01-28,29-187,BOS,,BRK,W (+8),0,5:40,1,3,0.333,1,1,1.0,0,0,,0,1,1,0,0,0,1,0,3,0.6,-3
22,51,23,2019-01-30,29-189,BOS,,CHO,W (+32),0,15:05,2,3,0.667,1,1,1.0,0,0,,1,0,1,0,1,0,0,1,5,5.0,-6
23,54,24,2019-02-05,29-195,BOS,@,CLE,W (+7),0,17:39,3,5,0.6,0,2,0.0,1,1,1.0,0,2,2,1,0,0,0,1,7,5.6,0
24,56,25,2019-02-09,29-199,BOS,,LAC,L (-11),0,5:37,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,-5
25,57,26,2019-02-12,29-202,BOS,@,PHI,W (+3),0,6:48,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0.6,-6
26,58,27,2019-02-13,29-203,BOS,,DET,W (+8),0,13:38,2,2,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,1,1,5,5.0,7
27,65,28,2019-03-05,29-223,BOS,@,GSW,W (+33),0,5:00,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,0,1,2,0.9,5
28,67,29,2019-03-09,29-227,BOS,@,LAL,W (+13),0,1:51,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-0.4,-1
29,68,30,2019-03-11,29-229,BOS,@,LAC,L (-25),0,5:19,0,3,0.0,0,1,0.0,2,2,1.0,0,1,1,1,0,0,0,1,2,0.5,3
30,74,31,2019-03-24,29-242,BOS,,SAS,L (-19),0,3:22,0,0,,0,0,,0,1,0.0,0,0,0,2,0,0,1,0,0,0.0,3
31,77,32,2019-03-30,29-248,BOS,@,BRK,L (-14),0,12:54,3,3,1.0,0,0,,2,2,1.0,0,2,2,3,2,0,2,6,8,7.4,13
32,79,33,2019-04-03,29-252,BOS,@,MIA,W (+10),0,12:57,1,2,0.5,0,1,0.0,0,0,,0,1,1,1,0,1,0,2,2,1.9,6
33,80,34,2019-04-05,29-254,BOS,@,IND,W (+20),0,17:05,4,5,0.8,0,1,0.0,1,1,1.0,0,2,2,3,0,0,1,1,9,8.4,10
34,81,35,2019-04-07,29-256,BOS,,ORL,L (-8),0,5:32,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,2,1.0,-12
35,82,36,2019-04-09,29-258,BOS,@,WAS,W (+6),0,28:53,6,13,0.462,0,4,0.0,5,7,0.714,0,6,6,7,1,0,1,3,17,15.0,17
36,1,1,2019-10-23,30-090,BOS,@,PHI,L (-14),0,5:30,0,2,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-0.7,0
37,2,2,2019-10-25,30-092,BOS,,TOR,W (+6),0,9:38,1,3,0.333,0,1,0.0,2,2,1.0,1,2,3,0,1,1,1,2,4,3.5,0
38,3,3,2019-10-26,30-093,BOS,@,NYK,W (+23),0,3:38,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,2,2.7,-2
39,4,4,2019-10-30,30-097,BOS,,MIL,W (+11),0,5:38,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-1.6,-3
40,5,5,2019-11-01,30-099,BOS,,NYK,W (+2),0,15:18,2,2,1.0,0,0,,1,1,1.0,0,3,3,4,1,0,3,0,5,6.1,-3
41,6,6,2019-11-05,30-103,BOS,@,CLE,W (+6),0,20:41,2,5,0.4,0,1,0.0,1,2,0.5,0,1,1,3,1,0,1,3,5,3.1,0
42,7,7,2019-11-07,30-105,BOS,@,CHO,W (+21),0,16:03,3,4,0.75,1,1,1.0,2,2,1.0,0,3,3,3,2,0,0,2,9,11.6,6
43,8,8,2019-11-09,30-107,BOS,@,SAS,W (+20),0,16:41,3,5,0.6,1,1,1.0,0,0,,0,1,1,2,2,0,1,1,7,7.0,1
44,9,9,2019-11-11,30-109,BOS,,DAL,W (+10),0,21:04,4,7,0.571,0,2,0.0,2,2,1.0,1,3,4,2,0,0,0,3,10,8.5,-7
45,10,10,2019-11-13,30-111,BOS,,WAS,W (+7),0,16:41,2,3,0.667,0,1,0.0,6,6,1.0,0,2,2,5,0,0,4,1,10,8.4,15
46,11,11,2019-11-15,30-113,BOS,@,GSW,W (+5),0,18:25,2,4,0.5,0,0,,5,6,0.833,0,1,1,3,1,0,2,1,9,7.6,8
47,12,12,2019-11-17,30-115,BOS,@,SAC,L (-1),0,19:44,2,4,0.5,0,0,,4,4,1.0,0,2,2,3,1,1,1,0,8,9.4,-2
48,13,13,2019-11-18,30-116,BOS,@,PHO,W (+14),0,29:31,4,9,0.444,2,4,0.5,0,0,,0,1,1,6,3,0,1,2,10,11.0,0
49,14,14,2019-11-20,30-118,BOS,@,LAC,L (-3),0,27:11,4,8,0.5,2,4,0.5,4,4,1.0,1,2,3,5,1,0,3,3,14,11.6,6
50,15,15,2019-11-22,30-120,BOS,@,DEN,L (-4),0,26:53,5,8,0.625,0,2,0.0,4,4,1.0,0,2,2,4,0,0,1,4,14,11.2,18
51,16,16,2019-11-25,30-123,BOS,,SAC,W (+1),0,21:18,0,8,0.0,0,2,0.0,3,4,0.75,1,0,1,4,0,0,2,4,3,-3.1,-22
52,17,17,2019-11-27,30-125,BOS,,BRK,W (+11),0,19:13,5,7,0.714,2,2,1.0,1,1,1.0,2,1,3,1,0,1,1,1,13,11.8,5
53,18,18,2019-11-29,30-127,BOS,@,BRK,L (-5),0,18:19,4,7,0.571,1,1,1.0,2,3,0.667,2,6,8,3,0,1,0,2,11,12.5,6
54,19,19,2019-12-01,30-129,BOS,@,NYK,W (+9),0,18:27,3,5,0.6,1,2,0.5,4,4,1.0,1,1,2,3,1,0,1,1,11,11.4,2
55,20,20,2019-12-04,30-132,BOS,,MIA,W (+19),0,19:22,2,7,0.286,1,3,0.333,2,2,1.0,0,0,0,4,1,0,1,2,7,4.9,-3
56,21,21,2019-12-06,30-134,BOS,,DEN,W (+13),0,19:23,2,5,0.4,0,2,0.0,1,2,0.5,0,1,1,3,1,1,1,0,5,5.0,10
57,22,22,2019-12-09,30-137,BOS,,CLE,W (+22),0,22:08,1,6,0.167,0,0,,1,2,0.5,0,0,0,3,0,0,2,2,3,-1.9,-7
58,23,23,2019-12-11,30-139,BOS,@,IND,L (-5),0,24:08,4,9,0.444,1,1,1.0,3,4,0.75,2,4,6,1,1,1,3,2,12,8.1,0
59,24,24,2019-12-12,30-140,BOS,,PHI,L (-6),0,15:12,1,1,1.0,0,0,,0,0,,0,0,0,3,0,0,0,2,2,3.0,-1
60,25,25,2019-12-18,30-146,BOS,@,DAL,W (+6),0,26:15,1,4,0.25,1,2,0.5,4,4,1.0,0,3,3,2,0,0,1,1,7,5.5,-1
61,26,26,2019-12-20,30-148,BOS,,DET,W (+21),0,21:49,2,6,0.333,0,1,0.0,2,2,1.0,0,3,3,3,2,0,2,4,6,4.0,7
62,27,27,2019-12-22,30-150,BOS,,CHO,W (+26),0,27:06,0,1,0.0,0,0,,0,0,,0,2,2,8,0,1,0,2,0,5.4,20
63,28,28,2019-12-25,30-153,BOS,@,TOR,W (+16),0,20:20,2,6,0.333,0,2,0.0,2,2,1.0,0,1,1,3,1,0,2,3,6,2.8,8
64,29,29,2019-12-27,30-155,BOS,,CLE,W (+12),0,19:52,2,5,0.4,1,3,0.333,3,3,1.0,0,2,2,2,0,0,0,2,8,6.5,20
65,30,30,2019-12-28,30-156,BOS,,TOR,L (-16),0,14:24,0,3,0.0,0,1,0.0,2,2,1.0,1,2,3,0,1,1,1,1,2,1.5,-5
66,31,31,2019-12-31,30-159,BOS,@,CHO,W (+17),0,21:09,2,7,0.286,1,3,0.333,2,2,1.0,0,2,2,1,1,0,2,2,7,2.4,13
67,32,32,2020-01-03,30-162,BOS,,ATL,W (+3),0,22:49,3,5,0.6,0,2,0.0,0,0,,0,2,2,1,1,1,1,3,6,4.5,3
68,33,33,2020-01-04,30-163,BOS,@,CHI,W (+7),0,18:45,1,1,1.0,0,0,,0,0,,0,1,1,5,1,0,2,3,2,3.3,0
69,34,34,2020-01-06,30-165,BOS,@,WAS,L (-5),0,14:34,0,6,0.0,0,2,0.0,0,0,,0,3,3,1,0,0,1,1,0,-4.0,-5
70,35,35,2020-01-08,30-167,BOS,,SAS,L (-15),0,20:40,2,4,0.5,1,1,1.0,4,4,1.0,0,4,4,3,0,0,1,1,9,8.9,-10
71,37,36,2020-01-11,30-170,BOS,,NOP,W (+35),0,16:05,2,5,0.4,0,0,,0,0,,0,1,1,3,1,1,1,2,4,3.6,23
72,38,37,2020-01-13,30-172,BOS,,CHI,W (+12),0,24:11,3,5,0.6,1,1,1.0,2,2,1.0,1,2,3,2,0,0,0,1,9,9.0,7
73,39,38,2020-01-15,30-174,BOS,,DET,L (-13),0,21:11,3,7,0.429,1,2,0.5,2,2,1.0,0,1,1,4,0,0,2,4,9,4.8,-7
74,40,39,2020-01-16,30-175,BOS,@,MIL,L (-5),0,14:43,1,5,0.2,0,2,0.0,0,0,,0,1,1,4,0,0,0,1,2,1.6,-4
75,41,40,2020-01-18,30-177,BOS,,PHO,L (-4),0,22:38,1,6,0.167,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,2,4,-1.3,-2
76,42,41,2020-01-20,30-179,BOS,,LAL,W (+32),0,4:34,1,1,1.0,0,0,,0,0,,0,0,0,2,0,0,1,1,2,1.7,4
77,43,42,2020-01-22,30-181,BOS,,MEM,W (+24),0,25:08,5,11,0.455,0,3,0.0,0,0,,0,3,3,3,1,0,0,0,10,8.3,-7
78,44,43,2020-01-24,30-183,BOS,@,ORL,W (+11),0,16:11,3,6,0.5,0,2,0.0,2,2,1.0,0,0,0,1,0,1,1,3,8,4.2,1
79,45,44,2020-01-26,30-185,BOS,@,NOP,L (-15),0,6:04,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,0,-2.5,-16
80,46,45,2020-01-28,30-187,BOS,@,MIA,W (+8),0,13:47,2,5,0.4,2,2,1.0,0,0,,0,3,3,2,0,0,0,0,6,5.6,3
81,47,46,2020-01-30,30-189,BOS,,GSW,W (+15),0,14:35,0,2,0.0,0,0,,0,0,,0,3,3,2,0,0,1,1,0,-0.5,10
