,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,38,38,1990-01-23,24-084,UTA,,HOU,W (+8),1,23:00,2,4,0.5,0,0,,3,5,0.6,2,3,5,3,1,1,0,2,7,9.5,
38,39,39,1990-01-25,24-086,UTA,,NYK,W (+26),1,34:00,9,13,0.692,0,0,,4,4,1.0,0,4,4,2,1,1,1,5,22,17.8,
39,40,40,1990-01-27,24-088,UTA,,MIL,W (+48),1,19:00,1,3,0.333,0,0,,0,0,,0,3,3,0,2,0,1,3,2,1.0,
40,41,41,1990-01-30,24-091,UTA,@,POR,L (-24),1,26:00,2,6,0.333,0,0,,2,2,1.0,1,5,6,3,3,1,2,1,6,8.2,
41,42,42,1990-01-31,24-092,UTA,,LAC,W (+19),1,22:00,3,4,0.75,0,0,,4,4,1.0,2,3,5,2,2,0,1,3,10,11.9,
42,43,43,1990-02-02,24-094,UTA,,DAL,W (+13),1,21:00,6,10,0.6,0,0,,0,0,,1,2,3,0,1,1,3,4,12,5.8,
43,44,44,1990-02-04,24-096,UTA,@,DET,L (-32),1,32:00,4,10,0.4,0,0,,5,8,0.625,3,1,4,2,2,0,4,4,13,6.6,
44,45,45,1990-02-05,24-097,UTA,@,PHI,L (-25),1,27:00,6,7,0.857,0,0,,2,3,0.667,1,2,3,3,0,2,3,4,14,11.3,
45,46,46,1990-02-07,24-099,UTA,@,NJN,W (+7),1,23:00,3,5,0.6,0,1,0.0,4,4,1.0,0,3,3,2,1,0,3,5,10,6.0,
46,47,47,1990-02-08,24-100,UTA,@,CHH,W (+20),1,33:00,3,9,0.333,0,0,,2,4,0.5,1,6,7,3,0,0,2,4,8,3.1,
47,48,48,1990-02-13,24-105,UTA,,MIN,W (+6),1,28:00,0,5,0.0,0,0,,3,4,0.75,1,1,2,1,1,1,0,2,3,1.7,
48,49,49,1990-02-14,24-106,UTA,@,PHO,L (-11),1,23:00,7,12,0.583,0,0,,0,0,,3,2,5,0,0,0,0,1,14,10.7,
49,50,50,1990-02-16,24-108,UTA,@,SAS,L (-14),0,14:00,1,2,0.5,0,0,,0,0,,2,2,4,0,0,0,1,2,2,1.2,
50,51,51,1990-02-17,24-109,UTA,,SAC,W (+4),0,19:00,1,3,0.333,0,0,,0,0,,1,0,1,1,1,0,1,5,2,-0.3,
51,52,52,1990-02-19,24-111,UTA,,PHI,W (+13),0,30:00,3,7,0.429,0,1,0.0,0,0,,1,3,4,2,1,0,0,5,6,4.3,
52,53,53,1990-02-21,24-113,UTA,,BOS,W (+13),0,15:00,1,6,0.167,0,0,,0,0,,0,2,2,5,0,0,1,5,2,-0.7,
53,54,54,1990-02-22,24-114,UTA,@,LAC,W (+14),0,17:00,1,4,0.25,0,0,,0,0,,2,2,4,2,0,0,1,1,2,1.6,
54,55,55,1990-02-25,24-117,UTA,@,LAL,W (+1),0,23:00,5,9,0.556,0,0,,1,2,0.5,0,1,1,0,0,0,1,5,11,3.6,
55,56,56,1990-03-01,24-121,UTA,,POR,W (+17),0,23:00,3,8,0.375,0,0,,2,4,0.5,3,4,7,2,3,2,4,5,8,5.9,
56,57,57,1990-03-03,24-123,UTA,,SAS,W (+14),0,15:00,1,3,0.333,0,0,,2,2,1.0,0,0,0,1,0,1,0,1,4,3.3,
57,58,58,1990-03-05,24-125,UTA,@,MIA,L (-1),0,18:00,1,4,0.25,0,0,,3,4,0.75,0,3,3,2,0,2,3,2,5,2.1,
58,59,59,1990-03-06,24-126,UTA,@,ORL,W (+10),0,25:00,4,6,0.667,0,0,,2,2,1.0,1,2,3,2,0,3,2,5,10,8.2,
59,60,60,1990-03-08,24-128,UTA,@,CHI,W (+4),0,23:00,2,3,0.667,0,0,,2,2,1.0,0,1,1,3,1,2,3,5,6,4.5,
60,61,61,1990-03-09,24-129,UTA,@,MIL,W (+8),0,12:00,2,5,0.4,0,0,,0,0,,0,1,1,1,0,0,1,4,4,-0.3,
61,62,62,1990-03-11,24-131,UTA,@,DEN,W (+1),0,19:00,6,8,0.75,1,1,1.0,0,0,,0,3,3,1,1,0,2,6,13,8.0,
62,63,63,1990-03-13,24-133,UTA,,PHO,L (-8),0,19:00,4,5,0.8,0,0,,0,0,,0,1,1,1,0,0,1,3,8,4.9,
63,64,64,1990-03-15,24-135,UTA,,SEA,W (+22),0,30:00,7,8,0.875,2,2,1.0,0,0,,2,1,3,4,1,0,2,3,16,15.5,
64,65,65,1990-03-17,24-137,UTA,@,SAC,L (-13),0,11:00,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,1,1,2,0,-0.8,
65,66,66,1990-03-19,24-139,UTA,,SAC,W (+8),0,11:00,0,5,0.0,0,0,,1,2,0.5,0,1,1,0,2,0,2,2,1,-3.4,
66,67,67,1990-03-21,24-141,UTA,,LAC,W (+16),0,12:00,2,4,0.5,0,0,,2,2,1.0,0,0,0,3,1,0,3,2,6,3.3,
67,68,68,1990-03-23,24-143,UTA,,GSW,W (+15),0,25:00,4,7,0.571,0,1,0.0,2,2,1.0,0,1,1,2,1,1,1,5,10,7.1,
68,69,69,1990-03-24,24-144,UTA,@,LAC,W (+33),0,18:00,1,3,0.333,0,1,0.0,0,2,0.0,0,1,1,1,1,0,1,1,2,0.1,
69,70,70,1990-03-29,24-149,UTA,@,GSW,L (-5),0,22:00,5,7,0.714,0,0,,1,1,1.0,2,4,6,3,0,0,1,6,11,9.4,
70,71,71,1990-04-01,24-152,UTA,@,LAL,L (-16),0,24:00,6,11,0.545,0,1,0.0,0,1,0.0,3,1,4,0,0,0,1,3,12,6.5,
71,72,72,1990-04-03,24-154,UTA,,CHH,W (+23),0,25:00,6,7,0.857,0,0,,2,2,1.0,0,5,5,2,3,0,1,4,14,14.8,
72,73,73,1990-04-05,24-156,UTA,@,SEA,L (-10),0,20:00,1,3,0.333,0,1,0.0,6,6,1.0,2,2,4,0,0,0,2,3,8,5.1,
73,74,74,1990-04-09,24-160,UTA,@,PHO,L (-4),0,26:00,2,5,0.4,0,1,0.0,3,5,0.6,1,1,2,4,0,1,4,5,7,2.0,
74,75,75,1990-04-10,24-161,UTA,,SEA,W (+12),0,17:00,3,3,1.0,1,1,1.0,5,6,0.833,0,1,1,0,2,0,1,3,12,10.8,
75,76,76,1990-04-12,24-163,UTA,,LAL,W (+3),0,24:00,2,5,0.4,0,0,,0,0,,3,2,5,0,1,0,0,4,4,3.4,
76,77,77,1990-04-14,24-165,UTA,,HOU,L (-4),0,14:00,2,4,0.5,0,0,,1,2,0.5,0,1,1,0,2,0,0,2,5,4.1,
77,78,78,1990-04-15,24-166,UTA,@,MIN,W (+13),0,22:00,2,5,0.4,0,1,0.0,3,4,0.75,0,3,3,2,0,1,1,5,7,3.9,
78,79,79,1990-04-17,24-168,UTA,@,DAL,L (-1),0,25:00,2,6,0.333,0,0,,1,2,0.5,0,3,3,1,0,0,2,4,5,-0.8,
79,80,80,1990-04-18,24-169,UTA,@,SAS,L (-9),0,14:00,2,5,0.4,0,1,0.0,0,0,,1,0,1,0,0,0,1,0,4,1.0,
80,81,81,1990-04-20,24-171,UTA,,MIN,W (+8),0,14:00,1,3,0.333,0,0,,0,0,,0,3,3,0,1,0,0,4,2,0.6,
81,82,82,1990-04-22,24-173,UTA,@,HOU,L (-12),0,16:00,0,6,0.0,0,0,,0,0,,1,1,2,2,2,1,4,3,0,-4.3,
82,1,1,1990-11-02,25-002,UTA,,PHO,L (-23),0,22:00,3,10,0.3,0,0,,0,0,,1,1,2,1,0,0,1,3,6,-0.3,
83,2,2,1990-11-03,25-003,UTA,@,PHO,W (+1),0,14:00,2,2,1.0,0,0,,0,0,,0,0,0,0,0,1,2,4,4,0.5,
84,3,3,1990-11-08,25-008,UTA,,SAS,W (+9),0,18:00,1,5,0.2,0,0,,2,2,1.0,0,2,2,1,3,0,1,3,4,3.0,
85,4,4,1990-11-11,25-011,UTA,@,HOU,L (-20),0,19:00,1,5,0.2,0,0,,2,2,1.0,1,4,5,1,1,0,4,4,4,-1.1,
86,5,5,1990-11-13,25-013,UTA,,CHI,L (-2),0,21:00,3,11,0.273,0,1,0.0,4,4,1.0,1,1,2,0,1,0,0,4,10,3.9,
87,6,6,1990-11-15,25-015,UTA,@,ORL,L (-3),0,35:00,3,6,0.5,0,0,,1,2,0.5,2,1,3,1,1,0,3,4,7,2.4,
88,7,7,1990-11-16,25-016,UTA,@,BOS,L (-25),1,22:00,2,3,0.667,0,0,,2,2,1.0,0,2,2,0,0,1,1,4,6,3.4,
89,8,8,1990-11-18,25-018,UTA,@,MIN,W (+9),1,34:00,3,7,0.429,0,0,,0,0,,2,1,3,2,1,1,2,4,6,3.5,
90,9,9,1990-11-19,25-019,UTA,@,MIL,L (-10),1,36:00,6,11,0.545,0,1,0.0,2,2,1.0,1,7,8,1,1,0,6,6,14,4.8,
91,10,10,1990-11-21,25-021,UTA,,ORL,W (+15),1,26:00,3,6,0.5,0,0,,4,6,0.667,1,4,5,2,0,0,3,3,10,5.3,
92,11,11,1990-11-23,25-023,UTA,,SEA,W (+1),1,39:00,9,12,0.75,0,0,,0,2,0.0,0,2,2,2,2,1,3,2,18,13.3,
93,12,12,1990-11-24,25-024,UTA,@,DAL,W (+11),1,25:00,5,8,0.625,0,0,,2,2,1.0,3,3,6,2,1,0,1,4,12,11.2,
94,13,13,1990-11-28,25-028,UTA,,HOU,W (+11),1,31:00,6,11,0.545,0,2,0.0,1,2,0.5,1,4,5,3,3,0,2,3,13,11.1,
95,14,14,1990-12-07,25-037,UTA,,LAL,W (+22),1,22:00,2,4,0.5,0,0,,0,0,,0,6,6,3,0,0,0,2,4,5.1,
96,15,15,1990-12-08,25-038,UTA,@,LAC,W (+10),1,23:00,3,6,0.5,0,1,0.0,1,2,0.5,0,1,1,0,1,1,1,5,7,2.6,
97,16,16,1990-12-11,25-041,UTA,,GSW,W (+18),1,30:00,1,4,0.25,0,0,,0,0,,1,4,5,3,1,0,1,4,2,2.0,
98,17,17,1990-12-13,25-043,UTA,,DEN,W (+15),1,27:00,4,11,0.364,0,0,,1,1,1.0,2,3,5,3,1,1,2,3,9,5.8,
