Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,39,2017-01-15,24-035,MIL,@,ATL,L (-13),1,25:43,5,10,.500,2,3,.667,0,0,,0,0,0,0,2,1,2,2,12,6.9,-2
40,40,2017-01-16,24-036,MIL,,PHI,L (-9),1,28:06,5,11,.455,1,2,.500,0,0,,0,2,2,6,2,0,1,0,11,11.1,-1
41,41,2017-01-18,24-038,MIL,@,HOU,L (-19),1,34:57,3,12,.250,1,4,.250,0,0,,6,3,9,8,1,0,3,1,7,8.1,-18
42,42,2017-01-20,24-040,MIL,@,ORL,L (-16),1,35:18,6,11,.545,4,6,.667,0,0,,0,2,2,4,1,0,1,3,16,12.9,+9
43,43,2017-01-21,24-041,MIL,@,MIA,L (-12),0,30:20,1,10,.100,0,2,.000,2,2,1.000,0,2,2,2,1,0,0,2,4,-0.4,-13
44,44,2017-01-23,24-043,MIL,,HOU,W (+13),0,30:04,2,8,.250,0,2,.000,2,4,.500,0,2,2,9,4,0,4,1,6,6.9,+3
45,45,2017-01-25,24-045,MIL,,PHI,L (-5),0,25:45,3,7,.429,1,2,.500,3,4,.750,1,1,2,7,2,0,2,2,10,11.0,+14
46,46,2017-01-27,24-047,MIL,@,TOR,L (-16),0,24:45,2,5,.400,0,0,,0,0,,0,2,2,3,0,0,2,3,4,0.8,-8
47,47,2017-01-28,24-048,MIL,,BOS,L (-4),0,32:24,4,12,.333,0,3,.000,3,3,1.000,1,1,2,5,0,0,1,2,11,6.9,+2
48,48,2017-02-01,24-052,MIL,@,UTA,L (-16),0,30:53,4,8,.500,2,2,1.000,0,0,,1,2,3,4,3,0,3,1,10,9.7,0
49,49,2017-02-03,24-054,MIL,@,DEN,L (-4),0,23:52,3,7,.429,0,2,.000,1,1,1.000,0,1,1,2,2,1,2,1,7,5.3,-11
50,50,2017-02-04,24-055,MIL,@,PHO,W (+25),0,25:35,5,8,.625,1,1,1.000,2,3,.667,2,3,5,8,3,1,1,1,13,19.2,+28
51,51,2017-02-08,24-059,MIL,,MIA,L (-18),0,32:59,2,7,.286,0,1,.000,2,4,.500,1,1,2,6,3,0,1,2,6,7.5,+1
52,52,2017-02-10,24-061,MIL,,LAL,L (-8),0,26:51,8,11,.727,1,3,.333,1,1,1.000,0,2,2,3,1,0,4,3,18,12.0,+11
