Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1999-02-07,8810,VAN,A,SAC,L (-22),0,18:51,1,4,.250,0,1,.000,6,6,1.000,0,0,0,2,2,0,0,1,8,8.6,-3
2,2,1999-02-08,8811,VAN,H,POR,L (-19),0,10:02,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,1,1,2,0.2,-7
3,3,1999-02-10,8813,VAN,H,LAC,W (+6),0,14:51,4,7,.571,0,1,.000,0,0,,1,2,3,2,1,0,2,2,8,5.6,-5
4,4,1999-02-11,8814,VAN,H,IND,L (-4),0,14:26,1,5,.200,0,1,.000,0,0,,0,1,1,0,1,0,0,4,2,-1.4,+1
7,5,1999-02-17,8820,VAN,H,BOS,L (-2),0,3:21,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,0.3,0
8,6,1999-02-19,8822,VAN,A,MIN,L (-19),0,8:54,1,4,.250,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,1,3,0.2,+1
9,7,1999-02-21,8824,VAN,A,TOR,L (-15),0,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
10,8,1999-02-23,8826,VAN,H,LAL,W (+10),0,0:45,0,0,,0,0,,2,4,.500,0,1,1,0,0,1,0,0,2,2.2,+1
12,9,1999-02-27,8830,VAN,H,HOU,L (-12),0,21:00,4,6,.667,0,0,,1,1,1.000,1,3,4,0,2,0,3,1,9,6.6,+9
13,10,1999-02-28,8831,VAN,A,DEN,L (-4),0,15:16,1,2,.500,1,2,.500,1,4,.250,1,1,2,0,1,0,1,0,4,2.8,+1
14,11,1999-03-02,8833,VAN,H,SAC,L (-10),0,9:19,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,3,4,1.8,-4
15,12,1999-03-03,8834,VAN,A,UTA,L (-23),0,14:15,3,7,.429,0,1,.000,1,1,1.000,0,2,2,0,1,0,0,4,7,3.3,-5
16,13,1999-03-04,8835,VAN,H,MIN,L (-9),0,15:55,4,6,.667,0,0,,3,4,.750,2,1,3,1,1,0,1,5,11,8.4,+1
17,14,1999-03-06,8837,VAN,H,HOU,L (-15),0,19:05,1,4,.250,0,0,,1,6,.167,2,2,4,1,0,0,2,4,3,-2.3,-4
18,15,1999-03-08,8839,VAN,H,POR,L (-19),1,28:24,5,12,.417,0,1,.000,2,2,1.000,3,3,6,1,3,1,1,2,12,11.2,-9
19,16,1999-03-09,8840,VAN,A,GSW,L (-10),1,33:01,3,7,.429,0,0,,0,0,,1,2,3,2,0,0,0,4,6,3.4,-6
20,17,1999-03-11,8842,VAN,A,HOU,L (-11),1,33:04,2,9,.222,0,0,,2,4,.500,1,1,2,0,1,2,0,4,6,1.5,-6
21,18,1999-03-13,8844,VAN,A,DAL,L (-17),1,32:21,8,13,.615,0,1,.000,5,7,.714,1,3,4,0,1,1,2,4,21,14.0,-17
