Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,,2003-01-10,24-342,MIL,,CHI,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2003-01-11,24-343,MIL,@,DET,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,,2003-01-14,24-346,MIL,,ATL,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
38,,2003-01-15,24-347,MIL,@,TOR,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
39,,2003-01-17,24-349,MIL,@,PHI,W (+4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,,2003-01-18,24-350,MIL,,BOS,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
41,,2003-01-22,24-354,MIL,@,BOS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
42,,2003-01-25,24-357,MIL,,DEN,W (+13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
43,32,2003-01-27,24-359,MIL,@,NOH,W (+15),0,16:27,4,6,.667,0,0,,2,2,1.000,3,2,5,0,1,1,0,2,10,11.0,+9
44,33,2003-01-28,24-360,MIL,,PHI,L (-27),0,21:40,2,5,.400,0,0,,1,2,.500,1,4,5,0,0,4,0,1,5,6.2,+3
45,34,2003-01-30,24-362,MIL,,WAS,W (+7),0,7:30,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,0,2,0,0.6,+2
46,,2003-02-01,24-364,MIL,,NYK,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,,2003-02-04,25-002,MIL,,TOR,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,,2003-02-06,25-004,MIL,,SEA,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
49,,2003-02-12,25-010,MIL,,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,,2003-02-14,25-012,MIL,,DET,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
51,,2003-02-16,25-014,MIL,,MEM,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,35,2003-02-18,25-016,MIL,@,SAC,L (-9),0,6:47,1,3,.333,0,0,,0,0,,1,1,2,1,0,0,0,2,2,1.2,-1
53,,2003-02-19,25-017,MIL,@,LAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
54,36,2003-02-21,25-019,MIL,@,SEA,L (-30),0,15:28,1,3,.333,0,0,,0,2,.000,0,3,3,0,1,1,1,3,2,-0.1,-9
55,37,2003-02-22,25-020,MIL,@,POR,W (+3),1,18:28,1,4,.250,0,0,,0,0,,2,2,4,0,2,0,0,1,2,3.2,-3
56,38,2003-02-24,25-022,MIL,,MIN,L (-3),1,17:59,3,4,.750,0,0,,0,0,,3,1,4,0,0,1,1,4,6,4.9,-15
57,39,2003-02-26,25-024,MIL,,PHO,L (-6),1,13:25,0,2,.000,0,0,,0,2,.000,2,2,4,0,0,0,0,3,0,-1.4,-4
58,,2003-02-28,25-026,MIL,@,IND,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,40,2003-03-02,25-028,MIL,,ATL,W (+27),0,4:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,+7
60,,2003-03-04,25-030,MIL,@,MIA,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
61,41,2003-03-05,25-031,MIL,@,ORL,L (-12),0,5:25,0,3,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1.8,+6
62,,2003-03-07,25-033,MIL,@,WAS,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
63,,2003-03-08,25-034,MIL,,GSW,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
64,,2003-03-11,25-037,MIL,,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
65,42,2003-03-12,25-038,MIL,@,ATL,L (-19),1,8:21,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,1,0,0.2,-6
66,,2003-03-15,25-041,MIL,,LAL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
67,43,2003-03-16,25-042,MIL,@,NYK,L (-9),0,4:10,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.1,-1
68,,2003-03-19,25-045,MIL,@,NJN,W (+19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,44,2003-03-21,25-047,MIL,@,NOH,L (-15),0,6:52,0,1,.000,0,0,,0,0,,1,2,3,1,0,1,0,1,0,1.6,-4
70,,2003-03-22,25-048,MIL,,NOH,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
71,45,2003-03-25,25-051,MIL,@,SAS,L (-13),0,4:01,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,0,1,2,3.0,+8
72,,2003-03-26,25-052,MIL,@,DEN,L (-5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
73,,2003-03-28,25-054,MIL,@,UTA,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
74,,2003-03-30,25-056,MIL,,MIA,W (+22),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
75,,2003-03-31,25-057,MIL,@,MIA,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
76,46,2003-04-02,25-059,MIL,,HOU,W (+7),0,2:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+2
77,,2003-04-04,25-061,MIL,,CLE,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
78,,2003-04-05,25-062,MIL,@,CHI,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
79,47,2003-04-09,25-066,MIL,,LAC,W (+20),0,3:41,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-0.7,0
80,,2003-04-11,25-068,MIL,@,TOR,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
81,48,2003-04-13,25-070,MIL,,IND,W (+9),0,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-3
82,49,2003-04-16,25-073,MIL,,ORL,W (+6),0,19:44,2,6,.333,0,1,.000,1,4,.250,2,4,6,0,1,3,1,3,5,3.9,0
1,1,2003-10-29,25-269,MIL,@,MIN,L (-6),0,3:48,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-2.2,+1
2,,2003-10-31,25-271,MIL,@,IND,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2,2003-11-01,25-272,MIL,,CHI,W (+30),0,16:27,3,8,.375,0,0,,0,3,.000,3,5,8,1,1,0,0,5,6,3.7,+17
4,3,2003-11-04,25-275,MIL,,LAL,L (-6),0,18:57,0,4,.000,0,0,,1,2,.500,0,2,2,0,2,3,0,3,1,1.3,+3
5,4,2003-11-05,25-276,MIL,@,NYK,W (+16),0,13:54,3,3,1.000,0,0,,1,2,.500,0,2,2,0,1,0,0,2,7,6.5,-1
6,5,2003-11-07,25-278,MIL,@,DET,L (-6),0,16:50,2,6,.333,0,0,,1,2,.500,5,4,9,0,0,0,0,4,5,4.3,+3
7,6,2003-11-08,25-279,MIL,,NYK,W (+3),0,19:28,6,6,1.000,0,0,,1,2,.500,4,5,9,1,0,0,0,1,13,15.4,+8
8,7,2003-11-12,25-283,MIL,,SEA,L (-5),0,17:00,5,6,.833,0,0,,1,3,.333,3,3,6,0,0,0,0,1,11,10.6,+7
9,8,2003-11-15,25-286,MIL,,UTA,W (+5),0,25:52,2,5,.400,0,0,,2,3,.667,2,5,7,1,1,7,1,4,6,9.8,+8
10,9,2003-11-18,25-289,MIL,,ATL,L (-8),0,21:41,0,4,.000,0,0,,6,6,1.000,4,4,8,1,0,3,0,2,6,9.2,-5
11,10,2003-11-19,25-290,MIL,@,DEN,L (-8),0,11:50,1,3,.333,0,0,,1,2,.500,0,2,2,1,0,0,1,0,3,1.2,-9
12,11,2003-11-21,25-292,MIL,@,UTA,L (-9),0,6:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,+5
13,12,2003-11-23,25-294,MIL,@,TOR,W (+20),0,14:14,2,6,.333,0,0,,0,2,.000,3,3,6,1,0,1,2,3,4,1.0,+8
14,13,2003-11-25,25-296,MIL,,PHI,W (+4),0,23:16,2,4,.500,0,0,,4,4,1.000,2,7,9,0,0,1,2,5,8,6.2,+4
15,14,2003-11-28,25-299,MIL,@,BOS,L (-10),0,26:17,4,8,.500,0,0,,4,8,.500,4,4,8,0,2,2,2,3,12,10.6,+8
16,15,2003-11-29,25-300,MIL,,BOS,W (+6),0,20:40,3,5,.600,0,0,,0,1,.000,3,5,8,1,0,3,1,3,6,7.5,-3
17,16,2003-12-01,25-302,MIL,@,CHI,L (-10),0,20:21,0,1,.000,0,0,,0,0,,4,3,7,2,3,4,2,2,0,7.4,-10
18,17,2003-12-02,25-303,MIL,@,ATL,W (+12),0,20:01,6,6,1.000,0,0,,3,3,1.000,2,4,6,0,0,3,0,5,15,15.9,+4
19,18,2003-12-05,25-306,MIL,@,NJN,L (-7),0,21:05,5,9,.556,0,0,,0,0,,3,3,6,0,0,6,1,1,10,11.5,+1
20,19,2003-12-06,25-307,MIL,,WAS,L (-5),0,28:55,2,3,.667,0,0,,0,1,.000,3,2,5,1,0,1,0,5,4,4.4,-12
21,20,2003-12-08,25-309,MIL,@,NOH,L (-6),0,23:44,4,10,.400,0,0,,0,0,,5,4,9,0,0,0,1,1,8,5.9,+8
22,21,2003-12-10,25-311,MIL,,GSW,W (+5),0,32:42,9,13,.692,0,0,,1,1,1.000,5,8,13,0,3,5,0,5,19,23.9,+8
23,22,2003-12-12,25-313,MIL,,CHI,W (+14),0,31:28,6,12,.500,0,0,,0,0,,3,3,6,2,1,4,3,1,12,10.8,0
24,23,2003-12-14,25-315,MIL,@,SEA,L (-6),0,26:02,5,8,.625,0,0,,0,0,,5,3,8,0,0,4,2,4,10,10.0,-6
25,24,2003-12-16,25-317,MIL,@,POR,W (+7),0,23:22,4,8,.500,0,0,,2,5,.400,1,7,8,2,2,3,1,4,10,10.5,-6
26,25,2003-12-17,25-318,MIL,@,LAC,L (-10),0,25:02,6,10,.600,0,0,,4,5,.800,2,5,7,0,0,0,1,4,16,11.3,-14
27,26,2003-12-20,25-321,MIL,,NJN,W (+5),0,18:06,6,7,.857,0,0,,1,1,1.000,1,2,3,0,0,2,0,0,13,13.2,-2
28,27,2003-12-23,25-324,MIL,,DET,W (+5),0,10:54,0,1,.000,0,0,,0,2,.000,0,3,3,0,0,0,0,4,0,-2.2,+1
29,28,2003-12-26,25-327,MIL,,IND,W (+5),0,4:11,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-2.5,-4
30,29,2003-12-28,25-329,MIL,@,SAS,L (-15),0,8:31,1,2,.500,0,0,,1,2,.500,3,2,5,1,1,0,1,0,3,5.0,-2
31,30,2003-12-30,25-331,MIL,@,DAL,L (-9),0,6:43,0,2,.000,0,0,,0,0,,1,2,3,0,0,1,0,0,0,0.6,-5
32,31,2004-01-02,25-334,MIL,,DAL,W (+8),0,24:00,6,10,.600,0,0,,2,4,.500,6,6,12,0,1,5,1,4,14,16.5,+7
33,32,2004-01-04,25-336,MIL,@,WAS,W (+6),0,18:09,2,3,.667,0,0,,1,2,.500,2,1,3,0,1,3,1,3,5,5.9,+8
34,33,2004-01-05,25-337,MIL,@,PHI,W (+12),0,24:07,3,8,.375,0,0,,1,5,.200,2,6,8,0,2,1,1,4,7,4.3,0
35,34,2004-01-07,25-339,MIL,,PHO,W (+8),0,18:40,2,5,.400,0,0,,2,6,.333,6,4,10,1,1,1,1,1,6,8.1,+9
36,,2004-01-09,25-341,MIL,,MIA,W (+9),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
37,,2004-01-10,25-342,MIL,@,NYK,L (-6),Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
38,,2004-01-13,25-345,MIL,,BOS,W (+8),Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
