Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2020-12-23,7760,MIA,A,ORL,L (-6),0,13:39,3,4,.750,0,0,,2,4,.500,1,2,3,0,0,0,0,2,8,6.1,+6
2,2,2020-12-25,7762,MIA,H,NOP,W (+13),0,19:28,5,7,.714,0,0,,1,2,.500,1,2,3,2,0,1,1,6,11,7.7,+4
3,3,2020-12-29,7766,MIA,H,MIL,L (-47),0,17:38,5,8,.625,0,0,,0,2,.000,0,4,4,0,1,0,2,3,10,4.6,-15
4,4,2020-12-30,7767,MIA,H,MIL,W (+11),0,12:01,0,2,.000,0,0,,0,0,,3,2,5,0,0,1,3,2,0,-1.8,-2
5,5,2021-01-01,7769,MIA,A,DAL,L (-10),0,11:59,3,4,.750,0,0,,4,6,.667,2,4,6,1,0,0,1,0,10,9.9,-5
6,6,2021-01-04,7772,MIA,H,OKC,W (+28),0,19:36,2,5,.400,0,0,,2,5,.400,2,5,7,0,1,0,1,3,6,3.8,+3
7,7,2021-01-06,7774,MIA,H,BOS,L (-2),0,14:14,2,5,.400,0,0,,2,2,1.000,3,2,5,3,0,1,1,1,6,7.4,+7
8,8,2021-01-09,7777,MIA,A,WAS,W (+4),0,12:40,3,4,.750,0,0,,1,1,1.000,0,2,2,0,0,0,2,4,7,2.4,+5
9,9,2021-01-12,7780,MIA,A,PHI,L (-3),1,35:40,7,10,.700,0,0,,3,4,.750,6,7,13,3,0,1,3,4,17,16.9,-6
10,10,2021-01-14,7782,MIA,A,PHI,L (-17),1,27:24,4,6,.667,0,0,,2,6,.333,5,6,11,2,0,0,2,1,10,10.1,-18
11,11,2021-01-16,7784,MIA,H,DET,L (-20),0,11:15,1,3,.333,0,0,,3,4,.750,1,3,4,0,0,0,0,1,5,4.1,-6
12,12,2021-01-18,7786,MIA,H,DET,W (+6),0,12:46,4,5,.800,0,0,,0,2,.000,2,3,5,0,0,0,0,5,8,5.6,-1
13,13,2021-01-20,7788,MIA,A,TOR,W (+9),0,14:24,2,3,.667,0,0,,0,2,.000,1,3,4,0,1,1,0,0,4,5.2,+7
14,14,2021-01-22,7790,MIA,A,TOR,L (-20),0,11:32,2,2,1.000,0,0,,0,0,,0,1,1,1,1,2,2,1,4,4.4,-17
15,15,2021-01-23,7791,MIA,A,BRK,L (-4),0,10:08,1,1,1.000,0,0,,5,6,.833,1,1,2,0,0,0,1,3,7,5.1,-8
16,16,2021-01-25,7793,MIA,A,BRK,L (-13),0,12:41,2,4,.500,0,0,,0,0,,0,4,4,1,1,1,2,2,4,2.8,-10
17,17,2021-01-27,7795,MIA,H,DEN,L (-27),0,20:16,4,8,.500,0,0,,2,2,1.000,1,5,6,3,2,3,1,2,10,12.6,-3
18,18,2021-01-28,7796,MIA,H,LAC,L (-4),0,13:21,4,4,1.000,0,0,,2,5,.400,2,3,5,0,0,0,0,1,10,9.5,-1
19,19,2021-01-30,7798,MIA,H,SAC,W (+1),0,12:18,3,4,.750,0,0,,0,0,,2,0,2,0,0,0,1,0,6,4.8,-1
20,20,2021-02-01,7800,MIA,H,CHO,L (-8),0,13:42,1,3,.333,0,0,,2,4,.500,1,2,3,0,0,2,0,1,4,3.8,-6
21,21,2021-02-03,7802,MIA,H,WAS,L (-3),0,13:05,2,4,.500,0,0,,3,6,.500,0,4,4,0,2,0,0,0,7,7.0,-5
22,22,2021-02-05,7804,MIA,H,WAS,W (+27),0,20:19,2,8,.250,0,0,,0,0,,0,1,1,0,1,0,2,3,4,-2.7,-2
23,23,2021-02-07,7806,MIA,A,NYK,W (+6),0,9:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-1.8,-4
24,24,2021-02-09,7808,MIA,H,NYK,W (+2),0,9:26,0,2,.000,0,0,,0,0,,1,1,2,1,0,1,0,1,0,0.6,+5
25,25,2021-02-11,7810,MIA,A,HOU,W (+7),0,5:10,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,2.4,-5
26,26,2021-02-13,7812,MIA,A,UTA,L (-18),0,4:38,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,3,2,0,-3.9,+2
27,27,2021-02-15,7814,MIA,A,LAC,L (-7),0,12:06,3,6,.500,0,0,,2,2,1.000,0,1,1,0,2,0,0,3,8,6.1,-2
28,28,2021-02-17,7816,MIA,A,GSW,L (-8),0,17:03,6,7,.857,0,0,,1,1,1.000,0,6,6,0,0,0,0,1,13,11.9,+17
29,29,2021-02-18,7817,MIA,A,SAC,W (+8),0,12:28,0,4,.000,0,0,,0,0,,1,3,4,1,0,2,1,0,0,-0.1,-10
30,30,2021-02-20,7819,MIA,A,LAL,W (+2),0,11:36,2,4,.500,0,0,,0,2,.000,1,3,4,0,0,0,1,1,4,1.4,+10
31,31,2021-02-22,7821,MIA,A,OKC,W (+14),0,9:29,1,1,1.000,0,0,,0,2,.000,1,2,3,1,0,0,0,0,2,2.9,+3
32,32,2021-02-24,7823,MIA,H,TOR,W (+8),0,6:00,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,0.8,-4
34,33,2021-02-28,7827,MIA,H,ATL,W (+10),0,12:02,4,5,.800,0,0,,6,7,.857,4,3,7,1,1,1,1,0,14,16.8,+4
35,34,2021-03-02,7829,MIA,H,ATL,L (-14),0,15:02,1,1,1.000,0,0,,0,2,.000,1,3,4,0,1,1,0,2,2,3.4,-9
36,35,2021-03-04,7831,MIA,A,NOP,W (+10),0,16:28,4,8,.500,0,0,,0,0,,2,3,5,0,1,0,0,0,8,7.3,-3
37,36,2021-03-11,7838,MIA,H,ORL,W (+8),0,4:33,1,1,1.000,0,0,,0,2,.000,1,1,2,0,0,0,1,0,2,0.9,-5
38,37,2021-03-12,7839,MIA,A,CHI,W (+11),0,3:02,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-1
39,38,2021-03-14,7841,MIA,A,ORL,W (+5),0,11:53,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,4,2,-0.9,-1
41,39,2021-03-17,7844,MIA,A,MEM,L (-4),0,10:28,1,5,.200,0,0,,0,2,.000,2,3,5,0,0,0,0,0,2,0.4,-17
42,40,2021-03-19,7846,MIA,H,IND,L (-27),0,4:22,2,2,1.000,0,0,,0,0,,0,0,0,0,0,1,0,0,4,4.1,-1
43,41,2021-03-21,7848,MIA,H,IND,L (-3),0,3:14,0,2,.000,0,0,,0,2,.000,1,0,1,0,0,0,0,1,0,-1.9,-10
44,42,2021-03-23,7850,MIA,H,PHO,L (-10),0,12:58,3,4,.750,0,0,,3,4,.750,2,1,3,1,0,0,0,0,9,9.4,+9
45,43,2021-03-25,7852,MIA,H,POR,L (-3),0,13:55,1,4,.250,0,0,,0,0,,0,1,1,0,0,1,2,1,2,-1.8,-9
46,44,2021-03-26,7853,MIA,A,CHO,L (-5),0,10:58,2,4,.500,0,0,,0,3,.000,2,3,5,2,0,1,0,1,4,4.8,-3
47,45,2021-03-29,7856,MIA,A,NYK,W (+10),0,10:31,1,3,.333,0,0,,0,0,,1,2,3,1,0,1,1,5,2,0.0,0
48,46,2021-03-31,7858,MIA,A,IND,W (+5),0,7:35,1,2,.500,0,0,,0,0,,2,2,4,0,0,0,0,2,2,2.2,-13
50,47,2021-04-03,7861,MIA,H,CLE,W (+14),0,8:53,3,3,1.000,0,0,,0,0,,0,2,2,1,0,1,1,0,6,6.1,-3
51,48,2021-04-06,7864,MIA,H,MEM,L (-12),0,1:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,+5
52,49,2021-04-08,7866,MIA,H,LAL,W (+6),0,9:18,2,7,.286,0,0,,3,5,.600,4,1,5,0,1,1,0,4,7,5.3,+3
53,50,2021-04-11,7869,MIA,A,POR,W (+9),0,13:11,1,3,.333,0,0,,0,0,,3,1,4,0,0,1,0,3,2,2.2,+10
