Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,29,2022-12-29,19-223,SAS,,NYK,W (+7),1,27:13,4,7,.571,0,1,.000,4,4,1.000,2,3,5,1,0,1,2,6,12,8.0,-9
36,30,2022-12-31,19-225,SAS,,DAL,L (-1),1,33:09,7,12,.583,2,3,.667,4,6,.667,1,5,6,2,1,0,1,3,20,16.0,-2
37,31,2023-01-02,19-227,SAS,@,BRK,L (-36),1,21:39,2,4,.500,0,1,.000,1,1,1.000,1,2,3,1,1,0,3,3,5,1.8,-13
38,32,2023-01-04,19-229,SAS,@,NYK,L (-3),1,29:42,0,3,.000,0,0,,0,0,,1,0,1,4,1,1,2,5,0,-0.9,-5
39,33,2023-01-06,19-231,SAS,,DET,W (+12),1,27:04,5,9,.556,0,2,.000,0,0,,0,8,8,2,1,1,5,2,10,5.4,0
40,34,2023-01-07,19-232,SAS,,BOS,L (-5),1,27:17,4,10,.400,1,4,.250,2,2,1.000,1,4,5,3,1,0,2,3,11,7.4,0
41,35,2023-01-09,19-234,SAS,@,MEM,L (-8),1,30:10,2,11,.182,1,3,.333,2,2,1.000,3,2,5,2,2,0,3,3,7,2.0,-1
42,36,2023-01-11,19-236,SAS,@,MEM,L (-6),1,28:41,5,9,.556,0,2,.000,1,1,1.000,1,2,3,5,2,0,3,3,11,9.3,-5
43,37,2023-01-13,19-238,SAS,,GSW,L (-31),1,24:01,2,9,.222,0,1,.000,0,2,.000,3,5,8,0,0,0,2,0,4,-0.7,-7
44,38,2023-01-15,19-240,SAS,,SAC,L (-13),1,32:30,6,8,.750,0,1,.000,3,4,.750,2,6,8,2,0,0,2,2,15,13.2,-12
45,39,2023-01-17,19-242,SAS,,BRK,W (+8),1,26:12,6,12,.500,2,3,.667,2,2,1.000,2,2,4,2,2,0,2,4,16,11.8,+1
