Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
38,38,1981-02-18,23-168,PHI,,DET,W (+14),0,30:00,6,11,.545,0,0,,3,5,.600,,,6,0,3,3,,4,15,
39,39,1981-02-19,23-169,PHI,@,WSB,L (-21),0,2:00,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,,0,4,
40,40,1981-02-20,23-170,PHI,,DAL,W (+8),0,13:00,2,6,.333,0,0,,1,2,.500,,,2,1,,0,1,4,5,
41,41,1981-03-04,23-182,PHI,,CHI,L (-11),0,7:00,2,4,.500,0,0,,0,0,,2,0,2,0,0,0,0,1,4,3.0
42,42,1981-03-06,23-184,PHI,,DEN,W (+19),0,3:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1.1
43,43,1981-03-08,23-186,PHI,,MIL,W (+23),0,4:00,1,4,.250,0,0,,0,0,,,,2,0,0,0,0,0,2,
44,44,1981-03-11,23-189,PHI,,NYK,W (+20),0,18:00,3,6,.500,0,0,,1,1,1.000,,,3,1,0,0,,2,7,
45,45,1981-03-13,23-191,PHI,@,MIL,L (-16),0,25:00,6,12,.500,0,0,,2,2,1.000,,,11,1,3,0,1,5,14,
46,46,1981-03-15,23-193,PHI,@,NYK,L (-11),0,24:00,1,5,.200,0,0,,0,2,.000,,,6,0,0,0,,4,2,
47,47,1981-03-17,23-195,PHI,@,NJN,L (-6),1,23:00,5,8,.625,0,0,,1,1,1.000,,,7,1,,1,,3,11,
48,48,1981-03-18,23-196,PHI,,IND,W (+12),1,16:00,1,4,.250,0,0,,1,2,.500,,,6,1,0,0,,4,3,
49,49,1981-03-20,23-198,PHI,@,CHI,L (-12),1,15:00,3,8,.375,0,0,,0,0,,3,2,5,0,1,2,0,4,6,5.1
50,50,1981-03-22,23-200,PHI,,BOS,W (+32),0,3:00,3,3,1.000,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,8,8.1
51,51,1981-03-25,23-203,PHI,,DET,W (+39),0,7:00,2,2,1.000,0,0,,0,0,,,,1,0,,1,,0,4,
52,52,1981-03-27,23-205,PHI,@,CLE,W (+21),0,9:00,3,3,1.000,0,0,,0,0,,0,0,0,0,0,0,2,1,6,2.7
1,1,1981-10-30,24-057,PHI,,CLE,W (+24),0,8:00,2,4,.500,0,0,,0,2,.000,0,0,0,1,0,0,0,1,4,1.5
2,2,1981-11-03,24-061,PHI,@,WSB,W (+13),0,12:00,0,0,,0,0,,1,2,.500,,,4,0,,0,,1,1,
3,3,1981-11-11,24-069,PHI,,CHI,W (+27),0,6:00,2,3,.667,0,0,,1,1,1.000,1,2,3,1,0,0,0,1,5,5.3
4,4,1981-11-13,24-071,PHI,,KCK,W (+20),0,4:00,1,3,.333,0,0,,0,0,,,,2,0,0,0,0,2,2,
5,5,1981-11-14,24-072,PHI,@,NYK,W (+7),0,8:00,0,0,,0,0,,0,0,,0,0,0,0,,0,,0,0,
6,6,1981-11-20,24-078,PHI,@,CLE,W (+5),0,6:00,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-1.8
7,7,1981-11-21,24-079,PHI,,HOU,W (+29),0,28:00,11,17,.647,0,0,,1,2,.500,,,7,2,1,2,,5,23,
8,8,1981-12-01,24-089,PHI,@,ATL,W (+9),0,26:00,5,8,.625,0,0,,0,0,,,,6,1,,1,,3,10,
9,9,1981-12-02,24-090,PHI,,SAS,L (-5),0,19:00,2,6,.333,0,0,,0,0,,,,2,0,0,0,2,4,4,
10,10,1981-12-05,24-093,PHI,@,NJN,W (+9),0,3:00,1,2,.500,0,0,,0,0,,0,0,0,0,,0,,0,2,
11,11,1981-12-09,24-097,PHI,,DEN,W (+28),0,9:00,1,2,.500,0,0,,3,4,.750,2,2,4,0,2,0,0,2,5,6.8
12,12,1981-12-11,24-099,PHI,,CLE,W (+18),0,22:00,2,7,.286,0,0,,2,4,.500,6,4,10,2,0,1,2,4,6,5.0
13,13,1981-12-12,24-100,PHI,@,CHI,W (+3),0,24:00,5,8,.625,0,0,,0,2,.000,3,9,12,0,2,2,1,4,10,11.2
