Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
22,,2021-12-03,21-116,BRK,,MIN,W (+5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
23,,2021-12-04,21-117,BRK,,CHI,L (-4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
24,,2021-12-07,21-120,BRK,@,DAL,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
25,,2021-12-08,21-121,BRK,@,HOU,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
26,,2021-12-10,21-123,BRK,@,ATL,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
27,,2021-12-12,21-125,BRK,@,DET,W (+12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
28,3,2021-12-14,21-127,BRK,,TOR,W (+2),0,43:41,7,12,.583,3,6,.500,0,0,,4,6,10,2,2,0,2,2,17,16.6,+10
29,4,2021-12-16,21-129,BRK,,PHI,W (+9),0,32:50,4,9,.444,1,3,.333,0,0,,2,5,7,2,1,0,1,2,9,7.8,+1
30,5,2021-12-18,21-131,BRK,,ORL,L (-7),1,38:58,4,13,.308,1,4,.250,0,0,,2,3,5,2,0,3,2,2,9,4.5,-19
31,,2021-12-25,21-138,BRK,@,LAL,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2021-12-27,21-140,BRK,@,LAC,W (+16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2021-12-30,21-143,BRK,,PHI,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2022-01-01,21-145,BRK,,LAC,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2022-01-03,21-147,BRK,,MEM,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2022-01-05,21-149,BRK,@,IND,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,6,2022-01-07,21-151,BRK,,MIL,L (-12),0,6:58,0,2,.000,0,2,.000,0,0,,1,3,4,3,0,1,0,0,0,3.0,+8
38,7,2022-01-09,21-153,BRK,,SAS,W (+2),0,12:15,2,3,.667,2,2,1.000,0,0,,0,3,3,0,1,1,2,1,6,4.9,-6
39,8,2022-01-10,21-154,BRK,@,POR,L (-6),0,15:14,2,7,.286,1,3,.333,0,0,,1,4,5,0,1,0,1,2,5,2.0,+3
40,9,2022-01-12,21-156,BRK,@,CHI,W (+26),1,28:32,4,8,.500,1,4,.250,0,0,,1,0,1,1,3,1,1,4,9,7.5,+8
41,10,2022-01-13,21-157,BRK,,OKC,L (-21),1,24:50,4,10,.400,0,3,.000,1,1,1.000,2,0,2,0,0,1,0,2,9,4.9,-10
42,11,2022-01-15,21-159,BRK,,NOP,W (+15),1,37:01,6,10,.600,4,5,.800,0,0,,1,5,6,2,0,1,1,3,16,13.5,+16
43,12,2022-01-17,21-161,BRK,@,CLE,L (-7),1,37:52,4,8,.500,3,6,.500,0,0,,0,3,3,0,0,1,1,3,11,6.4,-6
44,13,2022-01-19,21-163,BRK,@,WAS,W (+1),1,35:24,2,4,.500,1,2,.500,0,0,,1,3,4,0,3,0,1,5,5,4.6,-8
45,14,2022-01-21,21-165,BRK,@,SAS,W (+15),1,32:18,2,7,.286,1,3,.333,0,0,,2,3,5,0,3,1,2,1,5,4.5,+20
46,15,2022-01-23,21-167,BRK,@,MIN,L (-11),1,29:04,6,10,.600,3,7,.429,0,0,,0,5,5,0,0,0,0,5,15,9.9,-10
47,16,2022-01-25,21-169,BRK,,LAL,L (-10),1,32:43,2,6,.333,0,3,.000,1,2,.500,0,6,6,1,1,1,1,2,5,3.6,+2
48,17,2022-01-26,21-170,BRK,,DEN,L (-6),1,36:37,3,7,.429,0,2,.000,3,3,1.000,2,4,6,1,0,2,2,4,9,6.4,+2
49,18,2022-01-29,21-173,BRK,@,GSW,L (-4),1,31:33,1,4,.250,1,2,.500,1,2,.500,2,4,6,1,0,2,3,2,4,2.1,-1
50,19,2022-02-01,21-176,BRK,@,PHO,L (-10),1,28:40,5,10,.500,3,7,.429,0,0,,0,5,5,0,1,0,1,3,13,8.3,-18
51,20,2022-02-02,21-177,BRK,@,SAC,L (-11),1,18:34,3,7,.429,1,3,.333,0,0,,1,3,4,0,0,0,2,2,7,2.1,-12
52,21,2022-02-04,21-179,BRK,@,UTA,L (-23),1,18:11,0,3,.000,0,1,.000,0,0,,0,2,2,0,2,0,1,1,0,-0.9,-17
53,22,2022-02-06,21-181,BRK,@,DEN,L (-20),1,20:28,1,4,.250,0,1,.000,0,0,,2,4,6,1,1,0,0,0,2,3.9,-18
54,23,2022-02-08,21-183,BRK,,BOS,L (-35),1,14:41,0,3,.000,0,2,.000,0,0,,2,1,3,0,0,0,1,0,0,-1.4,-26
