Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2011-12-25,8346,NYK,H,BOS,W (+2),0,9:03,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,0,0,1.0,+9
2,2,2011-12-28,8349,NYK,A,GSW,L (-14),0,4:19,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,2,0,-2.5,0
3,3,2011-12-29,8350,NYK,A,LAL,L (-17),0,15:45,1,6,.167,0,2,.000,1,2,.500,2,1,3,0,0,1,0,1,3,0.8,-2
4,4,2011-12-31,8352,NYK,A,SAC,W (+22),1,38:19,5,11,.455,4,8,.500,0,0,,5,7,12,0,1,0,2,2,14,12.1,+18
5,5,2012-01-02,8354,NYK,H,TOR,L (-5),1,33:01,0,4,.000,0,4,.000,2,2,1.000,1,4,5,0,1,1,0,2,2,2.0,+5
6,6,2012-01-04,8356,NYK,H,CHA,L (-8),0,3:28,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0.0,-1
7,7,2012-01-06,8358,NYK,A,WAS,W (+3),0,18:53,1,2,.500,0,1,.000,0,0,,1,5,6,1,1,1,1,0,2,4.6,+3
8,8,2012-01-07,8359,NYK,A,DET,W (+23),0,26:48,5,11,.455,1,5,.200,0,0,,4,3,7,1,2,1,1,1,11,11.0,+12
9,9,2012-01-09,8361,NYK,H,CHA,W (+4),0,18:30,0,1,.000,0,0,,1,2,.500,2,4,6,0,2,0,0,2,1,3.7,+3
10,10,2012-01-11,8363,NYK,H,PHI,W (+6),0,23:22,5,10,.500,3,5,.600,0,0,,0,1,1,2,0,1,1,2,13,8.6,+12
11,11,2012-01-12,8364,NYK,A,MEM,L (-11),0,28:24,3,5,.600,2,4,.500,0,0,,0,7,7,1,0,1,1,3,8,7.0,+1
12,12,2012-01-14,8366,NYK,A,OKC,L (-12),0,20:21,5,10,.500,2,5,.400,0,0,,2,2,4,0,3,0,1,1,12,10.6,0
13,13,2012-01-16,8368,NYK,H,ORL,L (-9),0,13:03,3,5,.600,2,3,.667,0,1,.000,0,2,2,0,0,0,0,1,8,5.5,-3
14,14,2012-01-18,8370,NYK,H,PHO,L (-3),0,8:07,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,1,0,0,2,2.3,+1
15,15,2012-01-20,8372,NYK,H,MIL,L (-14),0,17:46,2,4,.500,2,4,.500,0,1,.000,0,4,4,0,2,1,2,2,6,4.7,+3
16,16,2012-01-21,8373,NYK,H,DEN,L (-5),0,16:32,1,4,.250,0,2,.000,0,0,,0,6,6,0,0,0,1,1,2,0.0,+4
38,17,2012-03-06,8418,NYK,A,DAL,L (-10),0,13:29,1,3,.333,0,1,.000,0,0,,2,5,7,1,2,0,0,3,2,4.7,+13
39,18,2012-03-07,8419,NYK,A,SAS,L (-13),1,22:15,4,10,.400,0,2,.000,0,0,,5,3,8,0,1,1,2,1,8,6.3,+8
40,19,2012-03-09,8421,NYK,A,MIL,L (-5),0,13:37,2,3,.667,0,1,.000,0,0,,3,1,4,0,1,1,0,2,4,6.0,-14
42,20,2012-03-12,8424,NYK,A,CHI,L (-5),0,9:03,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-0.5,-6
43,21,2012-03-14,8426,NYK,H,POR,W (+42),0,7:10,1,1,1.000,1,1,1.000,0,0,,0,4,4,0,1,0,0,0,3,4.9,+13
44,22,2012-03-16,8428,NYK,H,IND,W (+15),0,7:54,3,3,1.000,1,1,1.000,0,0,,0,1,1,0,0,1,0,2,7,6.3,-13
46,23,2012-03-20,8432,NYK,H,TOR,W (+19),0,2:54,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,-0.4,-4
48,24,2012-03-23,8435,NYK,A,TOR,L (-17),0,6:46,1,4,.250,0,1,.000,0,0,,1,2,3,0,1,0,0,0,2,1.9,0
49,25,2012-03-24,8436,NYK,H,DET,W (+22),0,12:28,2,4,.500,0,0,,0,2,.000,4,3,7,0,1,0,3,3,4,1.7,+3
50,26,2012-03-26,8438,NYK,H,MIL,W (+9),0,13:07,1,3,.333,0,1,.000,1,2,.500,0,1,1,0,0,0,0,3,3,0.0,-8
51,27,2012-03-28,8440,NYK,H,ORL,W (+22),0,20:27,1,5,.200,0,1,.000,0,0,,2,6,8,0,0,0,0,3,2,0.9,0
52,28,2012-03-30,8442,NYK,A,ATL,L (-10),0,8:44,1,3,.333,0,0,,4,4,1.000,2,1,3,1,1,1,0,1,6,8.0,0
53,29,2012-03-31,8443,NYK,H,CLE,W (+16),0,19:19,1,4,.250,0,1,.000,6,8,.750,3,3,6,0,1,1,0,2,8,8.7,+9
54,30,2012-04-03,8446,NYK,A,IND,L (-8),0,9:26,2,3,.667,0,0,,0,0,,0,1,1,0,0,1,0,2,4,2.9,-4
55,31,2012-04-05,8448,NYK,A,ORL,W (+16),0,12:02,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,0,2,2.3,+12
57,32,2012-04-10,8453,NYK,A,CHI,L (-12),0,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
59,33,2012-04-13,8456,NYK,H,WAS,W (+38),0,13:09,1,4,.250,0,0,,0,0,,0,2,2,2,0,1,1,2,2,0.5,+8
62,34,2012-04-18,8461,NYK,A,NJN,W (+9),0,8:05,1,4,.250,0,1,.000,0,0,,1,3,4,0,0,1,0,0,2,1.9,-9
63,35,2012-04-20,8463,NYK,A,CLE,L (-8),0,5:43,0,0,,0,0,,1,2,.500,1,0,1,1,0,0,0,0,1,2.0,+1
64,36,2012-04-22,8465,NYK,A,ATL,W (+1),0,7:17,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,1,0,0,0.6,+7
66,37,2012-04-26,8469,NYK,A,CHA,W (+20),1,29:52,8,12,.667,2,3,.667,0,0,,2,7,9,0,0,2,1,1,18,16.3,+17
2,1,2012-11-02,8659,MIA,A,NYK,L (-20),0,1:58,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,1.0,+2
5,2,2012-11-07,8664,MIA,H,BRK,W (+30),0,4:02,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,+4
7,3,2012-11-11,8668,MIA,A,MEM,L (-18),0,3:30,2,2,1.000,1,1,1.000,0,0,,2,2,4,0,0,0,0,0,5,6.4,+9
28,4,2012-12-29,8716,MIA,A,MIL,L (-19),0,17:47,2,5,.400,0,3,.000,1,2,.500,1,1,2,0,0,1,1,3,5,1.4,-12
30,5,2013-01-02,8720,MIA,H,DAL,W (+10),0,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
34,6,2013-01-12,8730,MIA,A,SAC,W (+29),0,2:52,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
9,1,2013-11-17,9038,DET,A,LAL,L (-15),0,0:49,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
11,2,2013-11-20,9041,DET,A,ATL,L (-8),0,6:10,1,1,1.000,1,1,1.000,0,0,,1,0,1,0,0,1,1,2,3,2.3,-3
12,3,2013-11-22,9043,DET,H,ATL,L (-7),0,11:13,3,3,1.000,1,1,1.000,0,0,,1,4,5,0,0,0,0,1,7,7.6,-8
13,4,2013-11-24,9045,DET,A,BRK,W (+12),0,11:15,2,4,.500,0,2,.000,0,0,,0,0,0,0,0,0,0,2,4,1.2,+12
14,5,2013-11-25,9046,DET,H,MIL,W (+19),0,8:59,1,2,.500,1,2,.500,0,0,,0,3,3,0,0,0,0,1,3,2.5,-10
15,6,2013-11-27,9048,DET,H,CHI,L (-20),0,8:26,2,3,.667,0,1,.000,0,0,,1,0,1,0,1,0,0,2,4,3.6,-4
16,7,2013-11-29,9050,DET,H,LAL,L (-4),0,11:47,2,4,.500,0,0,,0,0,,3,0,3,2,1,0,0,1,4,6.1,+3
17,8,2013-12-01,9052,DET,H,PHI,W (+15),0,5:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,-2.1,+9
18,9,2013-12-03,9054,DET,A,MIA,W (+10),0,8:33,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-0.7,+5
19,10,2013-12-04,9055,DET,A,MIL,W (+7),0,3:16,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-4
20,11,2013-12-07,9058,DET,A,CHI,W (+17),0,12:56,4,6,.667,2,2,1.000,0,0,,2,3,5,2,0,3,0,3,10,12.0,+16
21,12,2013-12-08,9059,DET,H,MIA,L (-15),0,11:18,0,3,.000,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-1.2,-3
22,13,2013-12-10,9061,DET,H,MIN,L (-27),0,12:48,2,4,.500,0,2,.000,0,0,,1,2,3,1,0,0,1,2,4,2.2,-6
23,14,2013-12-11,9062,DET,A,NOP,L (-5),0,12:10,0,1,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,1,2,1.9,0
24,15,2013-12-13,9064,DET,H,BRK,W (+4),0,11:29,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,2,2,1.2,+18
25,16,2013-12-15,9066,DET,H,POR,L (-2),0,2:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
26,17,2013-12-16,9067,DET,A,IND,W (+5),0,16:19,3,6,.500,1,2,.500,0,0,,5,5,10,1,0,2,1,0,7,10.1,+4
27,18,2013-12-18,9069,DET,A,BOS,W (+1),0,12:29,1,2,.500,0,1,.000,0,0,,1,1,2,1,2,0,0,1,2,4.3,-7
28,19,2013-12-20,9071,DET,H,CHA,L (-10),0,17:48,5,9,.556,2,3,.667,0,0,,3,1,4,1,0,2,1,3,12,10.0,+11
29,20,2013-12-21,9072,DET,H,HOU,L (-17),0,3:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,-1
30,21,2013-12-23,9074,DET,A,CLE,W (+23),0,4:34,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,1,0,1.0,+1
31,22,2013-12-27,9078,DET,A,ORL,L (-17),0,24:21,4,8,.500,1,3,.333,0,0,,3,3,6,1,0,1,0,2,9,8.6,+5
32,23,2013-12-28,9079,DET,A,WAS,L (-24),0,23:26,4,6,.667,1,3,.333,1,1,1.000,2,1,3,1,1,1,0,2,10,10.7,-1
33,24,2013-12-30,9081,DET,H,WAS,L (-7),0,2:57,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,0,0,0.7,-2
34,25,2014-01-05,9087,DET,H,MEM,L (-28),0,6:20,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,1,0,-0.4,-17
35,26,2014-01-07,9089,DET,A,NYK,L (-4),0,0:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
36,27,2014-01-08,9090,DET,A,TOR,L (-21),0,3:32,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0.2,-4
39,28,2014-01-17,9099,DET,H,UTA,L (-21),0,12:00,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,1,3,1,-0.6,+1
41,29,2014-01-20,9102,DET,H,LAC,L (-9),0,5:22,1,1,1.000,1,1,1.000,1,2,.500,1,0,1,0,0,0,0,2,4,3.2,-2
44,30,2014-01-26,9108,DET,A,DAL,L (-10),0,12:49,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,2,2,1.1,+1
45,31,2014-01-28,9110,DET,H,ORL,W (+16),0,18:21,1,4,.250,1,2,.500,0,0,,0,8,8,1,0,1,3,5,3,-0.6,-1
46,32,2014-02-01,9114,DET,H,PHI,W (+17),0,13:28,0,4,.000,0,0,,0,0,,1,4,5,1,1,1,0,1,0,1.1,+1
