,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,41,38,2009-01-19,21-168,PHI,,DAL,L (-2),0,16:51,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-10
38,42,39,2009-01-24,21-173,PHI,,NYK,W (+6),0,12:17,2,3,0.667,0,0,,4,6,0.667,0,0,0,1,1,1,0,1,8,7.9,-9
39,43,40,2009-01-26,21-175,PHI,@,NOH,L (-15),0,3:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,3
40,44,41,2009-01-28,21-177,PHI,@,HOU,W (+2),0,20:42,3,5,0.6,0,0,,0,0,,1,5,6,0,0,1,1,1,6,5.2,12
41,45,42,2009-01-30,21-179,PHI,,WAS,W (+10),0,13:05,2,4,0.5,0,0,,4,4,1.0,1,1,2,1,0,0,0,1,8,7.3,3
42,46,43,2009-01-31,21-180,PHI,,NJN,L (-2),0,15:44,1,4,0.25,0,0,,2,2,1.0,2,2,4,1,0,1,4,5,4,-1.0,-1
43,47,44,2009-02-03,21-183,PHI,,BOS,L (-1),0,5:34,3,3,1.0,0,0,,0,0,,1,0,1,0,1,0,0,2,6,6.0,1
44,48,45,2009-02-05,21-185,PHI,,IND,W (+5),0,7:03,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,0,1,0,-0.8,-13
45,49,46,2009-02-07,21-187,PHI,,MIA,W (+10),0,22:01,5,8,0.625,0,0,,5,6,0.833,3,3,6,2,0,2,0,2,15,16.0,13
46,50,47,2009-02-09,21-189,PHI,,PHO,W (+17),0,24:00,11,16,0.688,0,0,,2,2,1.0,4,3,7,0,1,2,0,3,24,22.1,9
47,51,48,2009-02-11,21-191,PHI,,MEM,W (+4),0,16:11,5,7,0.714,0,0,,0,0,,0,2,2,0,0,0,0,5,10,5.7,6
48,52,49,2009-02-17,21-197,PHI,@,IND,L (-9),0,2:06,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,-4
49,53,50,2009-02-18,21-198,PHI,,DEN,L (-12),0,22:02,5,11,0.455,1,1,1.0,0,0,,5,5,10,1,2,1,2,5,11,9.7,-4
50,54,51,2009-02-21,21-201,PHI,@,MIA,L (-6),0,19:53,6,10,0.6,0,0,,0,0,,3,3,6,1,1,0,1,3,12,9.9,0
51,55,52,2009-02-23,21-203,PHI,@,NJN,L (-2),0,17:43,2,5,0.4,0,0,,1,2,0.5,0,1,1,0,0,2,0,2,5,2.8,1
52,56,53,2009-02-25,21-205,PHI,@,WAS,W (+8),0,12:16,3,6,0.5,0,0,,0,0,,0,1,1,0,0,1,0,3,6,2.8,-3
53,57,54,2009-02-27,21-207,PHI,@,NYK,W (+5),0,7:19,1,3,0.333,0,0,,3,4,0.75,0,3,3,0,0,0,0,2,5,3.0,-3
54,58,55,2009-02-28,21-208,PHI,,ORL,L (-6),0,7:21,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-0.1,4
55,59,56,2009-03-02,21-210,PHI,,NOH,L (-7),0,19:38,1,7,0.143,0,0,,0,0,,3,4,7,1,0,1,0,2,2,1.4,-2
56,60,57,2009-03-07,21-215,PHI,@,MEM,W (+5),0,16:28,3,5,0.6,0,0,,1,3,0.333,1,2,3,0,1,2,1,2,7,5.8,4
57,61,58,2009-03-08,21-216,PHI,@,OKC,L (-15),0,26:48,3,6,0.5,0,0,,2,4,0.5,3,3,6,0,0,0,0,3,8,6.0,-5
58,62,59,2009-03-11,21-219,PHI,,TOR,W (+9),0,15:54,5,7,0.714,0,0,,3,4,0.75,0,2,2,1,0,0,1,5,13,8.0,-1
59,63,60,2009-03-13,21-221,PHI,,CHI,W (+3),0,18:10,5,9,0.556,0,0,,0,0,,0,2,2,0,2,0,0,4,10,6.7,1
60,64,61,2009-03-15,21-223,PHI,,MIA,W (+8),0,17:40,4,5,0.8,0,0,,0,0,,2,3,5,2,0,1,0,3,8,9.3,-1
61,65,62,2009-03-17,21-225,PHI,@,LAL,W (+1),0,5:23,1,3,0.333,0,0,,0,0,,2,1,3,0,0,0,0,1,2,1.6,7
62,66,63,2009-03-18,21-226,PHI,@,PHO,L (-10),0,4:06,0,1,0.0,0,0,,0,2,0.0,1,2,3,0,0,1,0,2,0,-0.3,-5
63,67,64,2009-03-20,21-228,PHI,@,GSW,L (-8),0,17:56,5,9,0.556,0,0,,0,0,,2,1,3,0,0,1,2,3,10,4.9,-7
64,68,65,2009-03-22,21-230,PHI,@,SAC,W (+12),0,20:05,5,10,0.5,0,0,,5,6,0.833,3,3,6,0,0,0,3,1,15,9.2,-2
65,69,66,2009-03-23,21-231,PHI,@,POR,W (+6),0,14:13,2,5,0.4,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,6,3.9,7
66,70,67,2009-03-25,21-233,PHI,,MIN,W (+8),0,7:54,2,5,0.4,0,0,,0,0,,0,2,2,0,0,2,0,2,4,2.5,-10
67,71,68,2009-03-27,21-235,PHI,,CHA,L (-5),0,12:58,0,2,0.0,0,0,,2,2,1.0,0,0,0,0,0,1,0,0,2,1.3,5
68,72,69,2009-03-29,21-237,PHI,@,DET,L (-4),0,13:13,0,5,0.0,0,0,,2,2,1.0,1,1,2,0,0,0,0,4,2,-2.1,-10
69,73,70,2009-03-31,21-239,PHI,,ATL,W (+13),0,25:23,6,13,0.462,0,1,0.0,4,4,1.0,2,1,3,2,0,0,0,4,16,10.8,8
70,74,71,2009-04-02,21-241,PHI,,MIL,W (+10),0,26:46,6,9,0.667,0,0,,2,2,1.0,2,4,6,0,1,0,1,4,14,11.1,1
71,75,72,2009-04-04,21-243,PHI,,DET,W (+5),0,24:22,4,10,0.4,0,0,,2,2,1.0,3,2,5,0,0,1,0,4,10,6.4,-5
72,76,73,2009-04-05,21-244,PHI,@,NJN,L (-29),0,15:07,1,6,0.167,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,2,-1.6,-28
73,77,74,2009-04-07,21-246,PHI,@,CHA,L (-3),0,19:42,3,6,0.5,0,0,,2,2,1.0,2,1,3,0,0,0,1,2,8,4.9,-7
74,78,75,2009-04-09,21-248,PHI,@,CHI,L (-14),0,26:26,3,7,0.429,0,0,,3,4,0.75,0,3,3,0,0,0,0,3,9,4.6,-12
75,79,76,2009-04-10,21-249,PHI,,CLE,L (-10),0,23:05,4,9,0.444,0,0,,1,2,0.5,5,4,9,1,0,1,0,0,9,10.0,-7
76,80,77,2009-04-12,21-251,PHI,@,TOR,L (-7),0,29:19,5,13,0.385,0,1,0.0,0,0,,2,3,5,0,0,0,0,3,10,4.0,0
77,81,78,2009-04-14,21-253,PHI,,BOS,L (-2),0,14:47,2,3,0.667,0,0,,1,2,0.5,2,3,5,1,0,1,0,1,5,6.6,10
78,82,79,2009-04-15,21-254,PHI,@,CLE,W (+1),0,14:26,1,5,0.2,0,0,,2,2,1.0,1,1,2,0,0,0,1,2,4,0.1,4
79,1,1,2009-10-28,22-085,PHI,@,ORL,L (-14),0,26:01,10,11,0.909,0,0,,6,8,0.75,2,3,5,0,2,1,1,3,26,24.3,-12
80,2,2,2009-10-30,22-087,PHI,,MIL,W (+13),0,12:54,1,3,0.333,0,0,,2,2,1.0,4,3,7,1,0,0,1,5,4,3.7,6
81,3,3,2009-10-31,22-088,PHI,@,NYK,W (+14),0,29:53,7,10,0.7,0,0,,6,7,0.857,4,6,10,2,0,2,3,1,20,19.4,14
82,4,4,2009-11-03,22-091,PHI,,BOS,L (-31),0,23:53,3,11,0.273,0,0,,0,0,,3,6,9,0,0,1,1,2,6,2.3,-22
83,5,5,2009-11-06,22-094,PHI,,NJN,W (+3),0,17:47,4,6,0.667,0,0,,2,2,1.0,0,3,3,0,0,2,0,1,10,9.3,2
84,6,6,2009-11-08,22-096,PHI,@,DET,L (-7),0,23:25,7,9,0.778,0,0,,1,1,1.0,3,3,6,2,0,2,1,3,15,15.1,4
85,7,7,2009-11-09,22-097,PHI,,PHO,L (-4),0,29:37,8,13,0.615,0,0,,4,5,0.8,1,7,8,1,0,0,0,4,20,15.6,-1
86,8,8,2009-11-11,22-099,PHI,@,NJN,W (+3),0,30:28,8,15,0.533,0,0,,3,5,0.6,6,3,9,0,0,0,1,3,19,13.8,2
87,9,9,2009-11-13,22-101,PHI,,UTA,L (-22),0,24:24,1,3,0.333,0,0,,2,2,1.0,1,4,5,0,0,1,4,4,4,-0.7,-9
88,10,10,2009-11-14,22-102,PHI,@,CHI,L (-6),0,15:36,3,5,0.6,0,0,,0,0,,1,1,2,0,2,0,1,0,6,5.7,-20
89,25,11,2009-12-16,22-134,PHI,,CLE,L (-7),0,22:07,5,11,0.455,0,0,,4,5,0.8,2,2,4,1,1,0,3,4,14,7.0,-2
90,26,12,2009-12-18,22-136,PHI,@,BOS,W (+1),0,22:17,6,16,0.375,0,0,,5,8,0.625,5,5,10,1,1,0,1,5,17,10.7,9
91,27,13,2009-12-19,22-137,PHI,,LAC,L (-5),0,35:07,11,20,0.55,0,1,0.0,6,9,0.667,7,2,9,1,0,0,1,3,28,21.2,-4
92,28,14,2009-12-22,22-140,PHI,@,WAS,L (-7),0,19:39,3,5,0.6,0,0,,3,4,0.75,2,1,3,0,0,0,1,2,9,6.2,-13
93,29,15,2009-12-26,22-144,PHI,@,UTA,L (-21),0,16:23,0,8,0.0,0,0,,0,0,,2,3,5,0,2,1,3,2,0,-4.4,-21
94,30,16,2009-12-28,22-146,PHI,@,POR,W (+11),0,17:27,7,8,0.875,0,0,,0,0,,0,2,2,0,0,1,0,3,14,11.3,7
95,31,17,2009-12-30,22-148,PHI,@,SAC,W (+10),0,14:06,4,5,0.8,0,0,,0,0,,0,1,1,2,1,2,1,1,8,8.8,9
96,32,18,2009-12-31,22-149,PHI,@,LAC,L (-16),0,18:49,2,5,0.4,0,0,,2,2,1.0,0,2,2,0,2,0,1,3,6,3.7,-21
97,33,19,2010-01-03,22-152,PHI,@,DEN,W (+3),0,11:11,3,4,0.75,0,0,,2,2,1.0,1,0,1,1,1,0,0,2,8,8.0,-3
98,34,20,2010-01-05,22-154,PHI,,WAS,L (-7),0,12:01,2,6,0.333,0,1,0.0,1,2,0.5,2,3,5,2,0,0,0,1,5,4.5,10
99,35,21,2010-01-08,22-157,PHI,,TOR,L (-2),0,9:51,2,6,0.333,0,0,,4,4,1.0,0,1,1,0,2,0,0,2,8,6.1,3
100,36,22,2010-01-09,22-158,PHI,@,DET,W (+10),0,6:22,1,3,0.333,0,0,,0,0,,1,3,4,0,1,0,2,0,2,0.9,2
101,37,23,2010-01-11,22-160,PHI,,NOH,W (+4),0,5:06,0,3,0.0,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-1.8,-1
102,38,24,2010-01-13,22-162,PHI,,NYK,L (-1),0,8:40,4,4,1.0,0,0,,2,4,0.5,2,4,6,0,0,0,1,1,10,9.2,-1
103,39,25,2010-01-15,22-164,PHI,,SAC,W (+12),0,16:09,0,4,0.0,0,1,0.0,4,4,1.0,0,3,3,0,0,1,2,2,4,0.0,10
104,40,26,2010-01-18,22-167,PHI,@,MIN,L (-5),0,17:25,5,8,0.625,0,0,,1,2,0.5,0,4,4,1,2,0,0,3,11,9.7,-1
105,41,27,2010-01-20,22-169,PHI,,POR,L (-8),0,12:37,1,5,0.2,0,0,,3,4,0.75,2,1,3,1,0,0,0,0,5,3.9,-4
106,42,28,2010-01-22,22-171,PHI,,DAL,W (+11),0,25:20,7,13,0.538,0,0,,0,0,,1,2,3,1,3,3,0,3,14,13.6,16
107,43,29,2010-01-23,22-172,PHI,@,IND,W (+10),0,15:46,2,4,0.5,0,0,,2,2,1.0,1,2,3,2,1,1,1,1,6,7.0,-7
108,44,30,2010-01-25,22-174,PHI,,IND,L (-11),0,7:56,2,4,0.5,0,0,,0,0,,0,1,1,0,0,1,0,1,4,2.6,2
109,45,31,2010-01-27,22-176,PHI,@,MIL,L (-3),0,18:36,2,6,0.333,0,0,,5,6,0.833,4,3,7,3,1,1,1,4,9,10.1,-3
110,46,32,2010-01-29,22-178,PHI,,LAL,L (-8),0,4:51,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-10
111,47,33,2010-01-31,22-180,PHI,@,NJN,W (+4),0,11:37,1,6,0.167,0,0,,1,4,0.25,1,2,3,0,0,2,0,3,3,-0.5,-3
