Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
33,28,2021-02-26,19-259,OKC,,ATL,W (+9),1,34:25,4,11,.364,2,6,.333,3,3,1.000,1,3,4,12,1,0,1,0,13,16.9,-2
34,29,2021-02-27,19-260,OKC,,DEN,L (-30),1,32:20,0,6,.000,0,5,.000,1,2,.500,0,3,3,6,1,0,1,2,1,0.7,-28
35,30,2021-03-03,19-264,OKC,@,DAL,L (-9),1,30:44,5,10,.500,1,5,.200,0,0,,0,3,3,1,1,0,3,2,11,4.8,+3
36,31,2021-03-04,19-265,OKC,@,SAS,W (+5),1,29:21,2,6,.333,1,3,.333,2,2,1.000,0,7,7,5,0,0,1,2,7,7.4,-3
37,32,2021-03-11,19-272,OKC,,DAL,W (+8),1,35:39,4,9,.444,3,4,.750,0,0,,0,4,4,9,0,0,2,5,11,9.8,+2
38,33,2021-03-13,19-274,OKC,,NYK,L (-22),1,28:56,4,7,.571,2,4,.500,0,2,.000,0,4,4,3,0,0,5,4,10,2.6,-14
39,,2021-03-14,19-275,OKC,,MEM,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,34,2021-03-16,19-277,OKC,@,CHI,L (-21),1,32:10,3,10,.300,2,6,.333,0,0,,1,3,4,3,0,0,3,2,8,2.1,-28
41,35,2021-03-18,19-279,OKC,@,ATL,L (-23),0,21:58,4,10,.400,2,4,.500,0,0,,1,1,2,5,0,0,1,0,10,8.1,+2
42,36,2021-03-21,19-282,OKC,@,HOU,W (+2),1,32:19,4,12,.333,2,7,.286,2,2,1.000,2,2,4,2,3,0,2,3,12,8.4,+2
43,37,2021-03-22,19-283,OKC,@,MIN,W (+9),1,33:19,3,12,.250,3,7,.429,0,0,,1,3,4,5,1,1,2,0,9,6.6,-3
44,38,2021-03-24,19-285,OKC,,MEM,L (-9),1,32:29,4,14,.286,2,5,.400,0,0,,1,3,4,0,1,0,2,1,10,2.0,-17
45,39,2021-03-27,19-288,OKC,,BOS,L (-17),1,37:07,7,16,.438,4,10,.400,4,4,1.000,1,7,8,4,2,0,2,2,22,18.4,-16
46,40,2021-03-29,19-290,OKC,,DAL,L (-21),1,28:29,4,13,.308,1,4,.250,5,6,.833,1,5,6,1,0,0,2,3,14,5.8,-26
47,41,2021-03-31,19-292,OKC,,TOR,W (+10),1,32:27,3,16,.188,2,8,.250,3,4,.750,1,6,7,6,1,1,4,2,11,4.2,-1
48,42,2021-04-02,19-294,OKC,@,PHO,L (-37),1,31:02,10,18,.556,5,7,.714,8,10,.800,0,5,5,3,1,0,5,3,33,22.0,-26
49,43,2021-04-03,19-295,OKC,@,POR,L (-48),1,22:15,1,12,.083,1,7,.143,4,4,1.000,0,2,2,1,0,0,0,1,7,-0.1,-46
50,44,2021-04-05,19-297,OKC,,DET,L (-24),1,26:16,5,12,.417,0,2,.000,4,5,.800,0,6,6,1,0,0,3,1,14,6.3,-26
51,45,2021-04-07,19-299,OKC,,CHO,L (-11),1,36:24,9,18,.500,3,10,.300,4,4,1.000,0,5,5,5,0,2,6,0,25,16.4,-20
52,46,2021-04-08,19-300,OKC,,CLE,L (-27),1,30:08,6,17,.353,1,6,.167,1,2,.500,1,1,2,4,2,0,3,3,14,5.7,-12
53,47,2021-04-10,19-302,OKC,,PHI,L (-24),1,29:33,3,11,.273,2,4,.500,0,3,.000,0,2,2,5,0,0,2,2,8,1.6,-16
54,48,2021-04-13,19-305,OKC,@,UTA,L (-10),1,23:24,1,6,.167,0,3,.000,3,4,.750,0,0,0,2,1,0,0,2,5,2.4,-2
