Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
25,14,2021-02-12,19-312,NOP,@,DAL,L (-13),0,16:37,2,5,.400,1,2,.500,0,0,,0,2,2,0,0,0,1,1,5,1.5,-2
26,15,2021-02-14,19-314,NOP,@,DET,L (-11),0,16:40,4,9,.444,2,5,.400,0,0,,0,0,0,2,4,0,1,0,10,9.7,-5
27,16,2021-02-16,19-316,NOP,@,MEM,W (+31),0,22:11,2,6,.333,0,2,.000,0,0,,0,1,1,4,1,0,1,2,4,2.9,+5
28,17,2021-02-17,19-317,NOP,,POR,L (-2),0,17:29,2,6,.333,2,4,.500,0,2,.000,1,1,2,4,0,0,0,0,6,5.6,+11
29,18,2021-02-19,19-319,NOP,,PHO,L (-18),0,18:47,0,8,.000,0,4,.000,0,0,,0,1,1,4,1,0,0,2,0,-2.3,-10
30,19,2021-02-21,19-321,NOP,,BOS,W (+5),0,6:50,0,0,,0,0,,0,0,,0,0,0,3,0,0,0,0,0,2.1,-7
31,20,2021-02-24,19-324,NOP,,DET,W (+10),0,6:50,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,1,3,5,0.8,-6
32,,2021-02-25,19-325,NOP,@,MIL,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
33,,2021-02-27,19-327,NOP,@,SAS,L (-3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
34,,2021-03-01,19-329,NOP,,UTA,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
35,,2021-03-03,19-331,NOP,,CHI,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,21,2021-03-04,19-332,NOP,,MIA,L (-10),0,17:09,5,9,.556,1,4,.250,0,0,,0,1,1,1,1,0,0,3,11,7.5,+7
37,22,2021-03-11,19-339,NOP,,MIN,L (-30),0,22:05,5,12,.417,1,3,.333,0,0,,1,1,2,4,3,1,0,1,11,11.7,-21
38,23,2021-03-12,19-340,NOP,,CLE,W (+34),0,22:52,2,10,.200,1,2,.500,0,0,,1,2,3,0,1,0,2,3,5,-2.1,+1
39,24,2021-03-14,19-342,NOP,,LAC,W (+20),0,27:12,6,11,.545,1,4,.250,0,0,,0,3,3,4,2,0,2,2,13,10.6,+6
40,25,2021-03-16,19-344,NOP,@,POR,L (-1),0,9:18,0,0,,0,0,,0,0,,0,0,0,2,1,0,0,1,0,2.0,+6
41,26,2021-03-18,19-346,NOP,@,POR,L (-8),0,10:00,0,3,.000,0,2,.000,2,2,1.000,0,0,0,3,0,0,0,1,2,1.6,-8
42,27,2021-03-21,19-349,NOP,@,DEN,W (+5),0,16:41,3,6,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,6,4.0,+11
43,28,2021-03-23,19-351,NOP,,LAL,W (+17),0,20:11,5,9,.556,3,5,.600,3,3,1.000,0,1,1,6,0,2,0,2,16,16.8,+21
44,29,2021-03-26,19-354,NOP,,DEN,L (-5),0,16:13,2,5,.400,0,3,.000,2,2,1.000,0,1,1,3,0,0,0,2,6,4.9,+9
45,30,2021-03-27,19-355,NOP,,DAL,W (+9),0,24:44,6,7,.857,1,1,1.000,0,0,,0,3,3,5,0,0,0,4,13,13.3,+15
46,31,2021-03-29,19-357,NOP,@,BOS,W (+6),0,18:05,3,6,.500,3,4,.750,0,0,,0,3,3,4,1,0,0,0,9,10.7,+13
47,32,2021-04-01,19-360,NOP,,ORL,L (-5),0,32:39,4,13,.308,1,3,.333,0,0,,3,2,5,4,1,1,2,4,9,5.1,-8
48,33,2021-04-02,19-361,NOP,,ATL,L (-23),0,25:58,9,16,.563,2,4,.500,1,1,1.000,0,2,2,2,0,1,2,4,21,12.5,-12
49,,2021-04-04,19-363,NOP,@,HOU,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
