Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1995-11-03,21-047,WSB,@,PHI,L (-2),1,23:00,4,12,.333,0,3,.000,2,2,1.000,3,2,5,2,0,2,1,5,10,5.7
2,2,1995-11-04,21-048,WSB,,DET,W (+11),1,43:00,6,13,.462,0,1,.000,4,4,1.000,1,6,7,0,0,1,3,3,16,8.3
3,3,1995-11-06,21-050,WSB,@,ORL,L (-10),1,30:00,6,10,.600,1,2,.500,3,4,.750,0,4,4,1,1,1,1,4,16,12.0
4,4,1995-11-08,21-052,WSB,,CHH,W (+14),1,31:00,2,4,.500,0,0,,0,1,.000,0,7,7,0,0,3,2,4,4,2.2
5,5,1995-11-10,21-054,WSB,,NYK,L (-1),1,26:00,6,8,.750,1,2,.500,1,4,.250,0,4,4,0,0,0,1,5,14,7.8
6,6,1995-11-15,21-059,WSB,,PHI,W (+32),1,24:00,3,6,.500,0,0,,3,4,.750,1,2,3,4,0,1,0,4,9,8.8
7,7,1995-11-18,21-062,WSB,,TOR,L (-1),1,31:00,3,7,.429,0,1,.000,1,2,.500,2,4,6,0,0,0,2,3,7,2.3
8,8,1995-11-22,21-066,WSB,@,DET,W (+1),1,20:00,4,7,.571,0,0,,1,1,1.000,0,0,0,0,1,0,2,4,9,3.1
9,9,1995-11-24,21-068,WSB,,MIA,W (+16),1,15:00,3,5,.600,1,1,1.000,0,0,,1,1,2,0,0,1,2,1,7,4.0
10,10,1995-11-28,21-072,WSB,@,NJN,L (-5),1,32:00,5,6,.833,0,0,,0,0,,3,3,6,0,0,5,1,4,10,11.7
11,11,1995-11-30,21-074,WSB,,CLE,L (-12),0,25:00,1,3,.333,0,0,,3,4,.750,2,2,4,0,2,0,1,0,5,5.9
12,12,1995-12-02,21-076,WSB,,BOS,W (+28),0,10:00,1,3,.333,0,0,,0,0,,0,2,2,0,0,2,0,4,2,0.7
13,13,1995-12-03,21-077,WSB,@,NYK,L (-24),0,34:00,7,11,.636,1,3,.333,0,0,,2,2,4,0,1,0,0,2,15,12.3
14,14,1995-12-06,21-080,WSB,,ATL,W (+17),0,22:00,2,6,.333,0,0,,0,0,,0,1,1,0,0,0,3,4,4,-3.7
15,15,1995-12-08,21-082,WSB,@,HOU,L (-6),0,23:00,5,8,.625,0,1,.000,0,0,,1,3,4,0,1,0,2,4,10,5.4
16,16,1995-12-09,21-083,WSB,@,DAL,W (+9),1,35:00,4,6,.667,1,1,1.000,1,2,.500,1,3,4,1,0,1,0,4,10,8.4
17,17,1995-12-12,21-086,WSB,,MIL,W (+6),0,14:00,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,1,2,2,-0.2
18,18,1995-12-15,21-089,WSB,,LAL,W (+8),0,15:00,2,4,.500,0,0,,0,0,,0,2,2,2,0,0,2,1,4,1.6
19,19,1995-12-17,21-091,WSB,@,POR,W (+12),0,13:00,4,5,.800,0,0,,0,0,,0,1,1,0,0,1,0,3,8,5.9
20,20,1995-12-19,21-093,WSB,@,LAC,W (+4),0,8:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-1.2
21,21,1995-12-20,21-094,WSB,@,PHO,L (-2),1,33:00,4,9,.444,1,1,1.000,0,2,.000,0,5,5,1,1,1,1,5,9,4.4
22,22,1995-12-22,21-096,WSB,@,GSW,L (-15),0,12:00,1,4,.250,0,1,.000,0,0,,0,0,0,0,1,1,2,1,2,-1.1
23,23,1995-12-23,21-097,WSB,@,SEA,L (-18),0,18:00,1,3,.333,0,1,.000,1,1,1.000,1,1,2,1,2,1,1,3,3,3.5
24,24,1995-12-27,21-101,WSB,,GSW,W (+21),0,5:00,1,3,.333,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,2.0
25,25,1995-12-29,21-103,WSB,,NYK,W (+7),0,18:00,4,9,.444,0,0,,0,0,,2,0,2,1,1,0,4,2,8,1.6
26,26,1995-12-30,21-104,WSB,@,MIL,W (+9),1,20:00,6,8,.750,0,0,,0,0,,1,2,3,1,1,0,1,5,12,8.8
27,27,1996-01-02,21-107,WSB,,CLE,L (-8),1,34:00,9,12,.750,1,2,.500,1,1,1.000,4,1,5,0,0,0,4,1,20,13.9
28,28,1996-01-04,21-109,WSB,,DAL,W (+12),1,33:00,5,10,.500,0,2,.000,2,4,.500,0,1,1,3,0,0,1,1,12,7.2
29,29,1996-01-06,21-111,WSB,@,DET,L (-8),1,22:00,0,1,.000,0,0,,3,8,.375,1,3,4,2,0,2,1,3,3,2.5
30,30,1996-01-08,21-113,WSB,@,CLE,L (-18),1,27:00,2,7,.286,1,2,.500,2,2,1.000,1,1,2,3,0,0,3,2,7,2.2
31,31,1996-01-10,21-115,WSB,@,PHI,W (+5),1,34:00,8,14,.571,2,2,1.000,4,4,1.000,5,5,10,1,0,0,2,3,22,17.9
32,32,1996-01-12,21-117,WSB,,SAC,W (+29),1,30:00,1,6,.167,1,1,1.000,2,2,1.000,1,2,3,0,0,4,2,1,5,2.9
33,33,1996-01-13,21-118,WSB,@,TOR,L (-6),1,34:00,1,6,.167,0,1,.000,7,10,.700,4,8,12,2,1,0,3,4,9,7.0
34,34,1996-01-15,21-120,WSB,,CHI,L (-7),1,36:00,7,10,.700,1,3,.333,2,2,1.000,1,3,4,1,0,2,2,5,17,12.5
35,35,1996-01-17,21-122,WSB,@,MIA,L (-7),1,34:00,9,22,.409,2,5,.400,2,7,.286,2,4,6,0,0,0,2,5,22,6.8
