Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
29,19,2021-12-17,19-200,GSW,@,BOS,W (+4),1,10:08,1,6,.167,0,2,.000,0,0,,0,0,0,0,1,1,1,1,2,-1.5,0
30,20,2021-12-18,19-201,GSW,@,TOR,L (-19),0,25:05,3,10,.300,2,8,.250,3,5,.600,2,6,8,3,0,1,1,5,11,7.4,-4
31,21,2021-12-20,19-203,GSW,,SAC,W (+15),0,2:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+1
32,22,2021-12-23,19-206,GSW,,MEM,W (+9),0,10:53,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,1,2,1.6,+11
33,,2021-12-25,19-208,GSW,@,PHO,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2021-12-28,19-211,GSW,,DEN,L (-3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2022-01-01,19-215,GSW,@,UTA,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
36,,2022-01-03,19-217,GSW,,MIA,W (+7),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
37,23,2022-01-05,19-219,GSW,@,DAL,L (-17),0,1:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-4
38,24,2022-01-06,19-220,GSW,@,NOP,L (-5),0,23:04,3,6,.500,0,3,.000,4,4,1.000,1,4,5,0,0,0,0,0,10,8.9,+4
39,,2022-01-09,19-223,GSW,,CLE,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
40,25,2022-01-11,19-225,GSW,@,MEM,L (-8),0,7:11,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,2.0,-11
41,,2022-01-13,19-227,GSW,@,MIL,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2022-01-14,19-228,GSW,@,CHI,W (+42),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2022-01-16,19-230,GSW,@,MIN,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,26,2022-01-18,19-232,GSW,,DET,W (+16),0,7:36,0,3,.000,0,2,.000,4,4,1.000,0,1,1,0,0,0,0,1,4,1.8,-4
45,,2022-01-20,19-234,GSW,,IND,L (-4),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
46,,2022-01-21,19-235,GSW,,HOU,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
47,,2022-01-23,19-237,GSW,,UTA,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
48,27,2022-01-25,19-239,GSW,,DAL,W (+38),0,7:12,1,3,.333,1,1,1.000,0,0,,0,2,2,0,0,0,0,2,3,1.1,+6
49,,2022-01-27,19-241,GSW,,MIN,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
50,,2022-01-29,19-243,GSW,,BRK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
51,28,2022-01-31,19-245,GSW,@,HOU,W (+14),1,24:35,4,7,.571,3,5,.600,0,0,,0,2,2,1,0,1,0,3,11,8.5,-3
52,29,2022-02-01,19-246,GSW,@,SAS,W (+4),1,36:52,6,12,.500,6,10,.600,2,2,1.000,2,5,7,1,0,0,1,3,20,15.4,+1
53,30,2022-02-03,19-248,GSW,,SAC,W (+12),1,23:50,2,7,.286,2,5,.400,0,0,,1,3,4,0,0,0,1,1,6,2.1,-8
54,31,2022-02-07,19-252,GSW,@,OKC,W (+12),0,9:08,2,4,.500,1,2,.500,0,0,,0,0,0,1,0,0,1,2,5,1.9,-6
55,32,2022-02-09,19-254,GSW,@,UTA,L (-26),0,21:03,2,3,.667,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,5,4.6,-22
56,33,2022-02-10,19-255,GSW,,NYK,L (-2),0,3:05,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+5
