model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,804,201,21.35342612693712,4.620976750313414,0.2974327059093918,22.789828072979617,4.773869297852594,0.2158899269343611,5.676616915422885,6.691754568082123,2.2678313281766527,3.2835075717350035,-11.628891636231842,0.4539872795213835,4.745559368695505,7.624433207256385,-5.611155854787903
Lasso (lambda=0.05),804,201,21.83692460940457,4.6729995302166,0.2815247097637262,23.010747547141225,4.79695190169145,0.2082889400172259,5.676616915422885,5.109945115926427,0.0,0.7933814658204364,-0.0,0.2942162165024015,5.072970215722059,-2.816955321069219,-0.4499264226599199
"Random Forest (500 estimators, 5 depth)",804,201,15.048762104925895,3.879273399094977,0.5048678367293182,23.044460177019012,4.800464579290114,0.2071290184683638,5.676616915422885,,0.0622112244608835,0.082308266245089,0.3379329366924243,0.0110216202153486,0.4834539722001849,0.0157013492673752,0.0073706309186944
"Random Forest (100 estimators, 5 depth)",804,201,14.987245364255054,3.871336379631077,0.5068918515069686,23.033820677510462,4.799356277409551,0.2074950826049743,5.676616915422885,,0.0607220917229281,0.077059947719275,0.3459359181414047,0.0095077264482448,0.484229062949604,0.0139785613007677,0.0085666917177757
Ridge (lambda=2.0),804,201,21.387910707001705,4.62470655360983,0.296298099314656,22.793643017040107,4.774268846330306,0.2157586694252463,5.676616915422885,6.059200016539544,1.6434980038913454,3.0590803135129923,-2.2115853346474896,0.471341005301862,4.747015172377087,-1.5772193963192207,-4.226900972863442
SVM (linear kernel),804,201,21.63198818654866,4.651020123214762,0.28826749788637096,22.77432434734313,4.772245210311717,0.21642335032846005,5.676616915422885,,,,,,,,
"Feedforward NN (3 layers, [[16, 4, 1]] activations)",804,201,20.818726986164403,4.562754320162812,0.31502529860398365,23.102406139544627,4.8064962435795815,0.20513532142228186,5.676616915422885,,,,,,,,
