model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,120,31,40.37982385693876,6.35451208645784,0.17186579456647322,39.29603203535732,6.268654722933568,0.08911460306868646,25.387096774193548,28.696461427695436,-4.4216528198744625,17.802965602551197,-1.581276131031963,1.0082151474280754,1.7763568394002505e-14,-8.899409181741753,-13.891669687869323
Lasso (lambda=0.05),120,31,41.36966563921446,6.431925500129371,0.15156551191110612,38.07948918710675,6.170858059225374,0.11731417075571426,25.387096774193548,25.9691291090606,-3.7871104459878646,12.031744143693043,-0.30969997476625843,0.6762185637737471,0.0,-5.937290049717809,-5.063238930162017
"Random Forest (500 estimators, 5 depth)",120,31,20.117950387261647,4.485303823294655,0.5874087287272016,45.788797789357616,6.766742036560697,-0.061388264643076784,25.387096774193548,,0.20496434191029939,0.31540965964468337,0.3887322827020648,0.03944431271903929,0.0,0.014857160580478855,0.036592242443434564
"Random Forest (100 estimators, 5 depth)",120,31,20.196625131173352,4.49406554593648,0.5857952188028435,47.62941412699369,6.90140667740959,-0.10405390940327419,25.387096774193548,,0.21144751204948473,0.31112697042015036,0.4009227055949541,0.04098365548666063,0.0,0.012558099074942299,0.02296105737380793
Ridge (lambda=2.0),120,31,42.5129229846872,6.520193477550126,0.12811888874718613,38.65033911465676,6.216939690447123,0.10408182041620073,25.387096774193548,25.624233514889344,-3.0241371074992274,8.452596245093629,-2.1053341057815573,0.7574185713383509,0.0,-2.6486859434743835,-2.5683134340543012
