model_type,n_train,n_test,mse_train,rmse_train,r2_train,mse_test,rmse_test,r2_test,y_test_mean,bias,Game of season_weight,Game for player_weight,Age (days)_weight,Home?_weight,Game Started?_weight,Year_weight,Month of Season_weight
Linreg,141,36,4.899039764576747,2.213377456417397,0.2047470519493909,7.137786246665442,2.671663572882155,0.0001544557200161,2.1666666666666665,1.28713763548198,4.358379003783828,-5.463881099811204,-4.215179417114503,0.4251598122574944,2.771783586799554,6.179125751968437,-1.914402279264637
Lasso (lambda=0.05),141,36,5.104968917063167,2.259417827021635,0.1713189163403431,6.831597692577912,2.6137325212381453,0.0430446811953122,2.1666666666666665,1.958598832176806,-0.2604724013172563,-0.3309499794057564,0.0,0.1024428751733332,2.2770689809496574,0.0,-0.3420562070321389
"Random Forest (500 estimators, 5 depth)",141,36,2.580858455680276,1.6065050437767932,0.5810535545717495,6.236492036766691,2.4972969460532104,0.1264057847330707,2.1666666666666665,,0.2031757140406891,0.1579777280530024,0.3094150151924204,0.0459814682470171,0.2343087913899656,0.015662758349232,0.0334785247276731
"Random Forest (100 estimators, 5 depth)",141,36,2.5664516275817,1.6020148649690178,0.5833921909307136,6.290149018217431,2.508016949348116,0.1188896316893872,2.1666666666666665,,0.198786323229224,0.163557997029535,0.3196629647482636,0.0409055202218461,0.2335143456199133,0.0154518106552278,0.0281210384959899
Ridge (lambda=2.0),141,36,5.01194214119121,2.2387367288699247,0.1864197975976742,7.314472079218654,2.704528069593409,-0.024595310707671,2.1666666666666665,1.83014183408562,-0.252639630301888,-1.1339613512872542,0.0423799487680577,0.3008282127157368,2.365415465519589,0.5047424225889272,-0.3375634966706681
SVM (linear kernel),141,36,5.4580900225247095,2.3362555559109346,0.11399735668130595,7.079027104695114,2.6606441146262148,0.008385308291735227,2.1666666666666665,,,,,,,,
"Feedforward NN (3 layers, [[16, 4, 1]] activations)",141,36,5.322320562640577,2.3070155098396232,0.136036586492992,7.702344971555935,2.775309887482105,-0.0789277002957729,2.1666666666666665,,,,,,,,
